ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
1279|Home Buyers Protection Company|October|11/10/1998|02/09/1999|$300.00|REDUCED|$0.00|02/22/1999||
1280|Elkorn District NSEA|September|10/10/1998|02/08/1999|$300.00|REDUCED|$0.00|02/22/1999||
1281|Elkorn District NSEA|October|11/10/1998|02/08/1999|$300.00|REDUCED|$0.00|02/22/1999||
1282|Crocker Claims Service|October|11/10/1998|02/09/1999|$300.00|REDUCED|$0.00|02/22/1999||
2201|Wells Fargo Bank of Grand Island|January|02/10/2004|04/05/2004|$750.00|REDUCED|$0.00|04/28/2004||$0.00
2202|Blackwell, Sanders, Peper, Martin|March|04/12/2004|04/20/2004|$200.00|REDUCED|$0.00|05/18/2004||$0.00
2203|DRI Title and Escrow|March|04/12/2004|05/05/2004|$575.00|REDUCED|$0.00|05/18/2004||$0.00
2204|Home Instead, Inc.|February|03/10/2004|05/13/2004|$750.00|PAID|||06/01/2004|$0.00
2205|Sand Systems, Inc.|April|05/12/2003|05/14/2004|$750.00|REDUCED|$0.00|05/21/2004||$0.00
2206|ServiceMaster Company|January|02/10/2004|05/05/2004|$750.00|REDUCED|$0.00|05/18/2004||$0.00
2207|Watermeier Construction, Inc.|March|04/12/2004|05/06/2004|$600.00|REDUCED|$0.00|05/25/2004||$0.00
2208|Chubb's Finer Foods|April|05/10/2004|06/02/2004|$575.00|REDUCED|$0.00|06/10/2004||$0.00
2209|ConAgra Foods|January|03/10/2004|06/01/2004|$750.00|REDUCED|$0.00|06/10/2004||
2210|Editech|April|05/10/2004|06/03/2004|$600.00|REDUCED|$0.00|06/10/2004||$0.00
2211|Steve Erdei Sales Inc.|April|05/10/2004|05/27/2004|$425.00|RED/PAID|$25.00|06/16/2004|06/15/2004|$0.00
2212|Hill Brothers, Inc.|December|01/12/2004|05/17/2004|$750.00|REDUCED|$0.00|06/08/2004||$0.00
2213|IBEW Local 265|April|05/10/2004|05/24/2004|$350.00|REDUCED|$0.00|06/08/2004||$0.00
2214|Kinder Morgan|June|07/10/2003|05/17/2004|$750.00|REDUCED|$0.00|06/08/2004||$0.00
2215|McArdle Grading Co.|April|05/10/2004|06/03/2004|$600.00|REDUCED|$0.00|06/10/2004||$0.00
2216|Publication Printing of Nebraska|May|06/10/2003|06/03/2004|$750.00|REDUCED|$0.00|06/10/2004||$0.00
2217|Sapp Bros. Truck Stops, Inc.|December|01/10/2004|05/26/2004|$750.00|REDUCED|$0.00|06/08/2004||$0.00
2218|Volleyball Beach, Inc.|March|04/12/2004|06/02/2004|$750.00|REDUCED|$0.00|06/10/2004||$0.00
2219|WBE Company, Inc.|December|01/10/2004|05/24/2004|$750.00|REDUCED|$0.00|06/08/2004||$0.00
2220|AFLAC|May|06/10/2004|06/14/2004|$100.00|RED/PAID|$25.00|08/10/2004|08/06/2004|$0.00
2221|Ambassador Real Estate Co. |January|01/12/2004|06/23/2004|$750.00|REDUCED|$0.00|07/07/2004||
2222|James Bachman|November|12/10/2003|06/16/2004|$750.00|REDUCED|$0.00|07/07/2004||$0.00
2223|Bank of Paxton|May|06/10/2004|06/23/2004|$325.00|REDUCED|$0.00|07/20/2004||$0.00
2224|Boyer Young Development Corp.|July|08/10/2003|06/10/2004|$750.00|REDUCED|$0.00|07/19/2004||$0.00
2225|Boyer Young Development Company Inc.|December|01/10/2004|06/10/2004|$750.00|REDUCED|$0.00|07/19/2004||$0.00
2226|Countryside Village, Inc.|October|11/03/2003|06/14/2004|$750.00|REDUCED|$0.00|07/07/2004||$0.00
2227|Croker, Huck, Kasher, DeWitt, Anderson & Gonderlinger|April|05/10/2004|06/07/2004|$700.00|REDUCED|$0.00|07/19/2004||$0.00
2228|DCM/ARM|March|04/12/2004|06/07/2004|$750.00|REDUCED|$0.00|07/07/2004||$0.00
2229|Intl Union of Painters & Allied Trades|March|04/12/2004|06/24/2004|$750.00|PAID|||08/16/2004|$0.00
2230|Payless Office Products|December|01/10/2004|06/15/2004|$750.00|REDUCED|$0.00|08/20/2004||$0.00
2231|Vietnam Veterans of America NE State Council|April|05/10/2004|06/08/2004|$725.00|REDUCED|$0.00|07/19/2004||$0.00
2233|Midwest Mechanical Contractors|December|01/12/2004|07/07/2004|$750.00|REDUCED|$0.00|07/19/2004||$0.00
2234|NE Farm Bureau Federation|April|05/10/2004|07/09/2004|$750.00|REDUCED|$0.00|07/19/2004||$0.00
2236|Intl Union of Painters & Allied Trades|January|02/10/2004|02/12/2004|$50.00|REDUCED|$0.00|07/20/2004||$0.00
2237|Ag Processing, Inc.|June|07/12/2004|07/30/2004|$450.00|REDUCED|$0.00|08/18/2004||$0.00
2238|American Title, Inc.|May|06/10/2004|07/29/2004|$750.00|PAID|||11/03/2005|
2239|Coca Cola Enterprises|January|02/10/2004|07/15/2004|$750.00|REDUCED|$0.00|08/06/2004||$0.00
2240|Editech, Inc.|April|05/10/2004|07/21/2004|$750.00|RED/PAID|$25.00|03/09/2005|03/09/2005|$0.00
2241|Engineering, Automation and Design|June|07/12/2004|07/21/2004|$225.00|REDUCED|$0.00|08/12/2004||$0.00
2242|Mutual Protective Insurance Company|June|07/12/2004|07/16/2004|$100.00|REDUCED|$0.00|08/12/2004||$0.00
2243|NE Technical Services|May|06/10/2004|07/21/2004|$750.00|PAID|||08/16/2004|$0.00
2244|Olsen Dodge, Inc.|April|05/10/2004|07/16/2004|$750.00|REDUCED|$0.00|08/16/2004||$0.00
2245|Pacific Realty|May|06/10/2004|07/20/2004|$750.00|REDUCED|$0.00|08/06/2004||$0.00
2246|Preservation Association|June|07/12/2004|07/14/2004|$50.00|REDUCED|$0.00|08/06/2004||$0.00
2247|The Venetian Resort Hotel Casino|May|06/10/2004|07/19/2004|$750.00|REDUCED|$0.00|08/06/2004||$0.00
2250|NE Public Employees Local 251|June|07/12/2004|08/05/2004|$600.00|REDUCED|$0.00|09/09/2004||$0.00
2251|Nebraska Beef, Inc.|January|05/10/2004|08/05/2004|$750.00|REDUCED|$0.00|08/18/2004||
2252|Valley Bank & Trust Co.|January|07/12/2004|08/12/2004|$750.00|REDUCED|$0.00|03/11/2005||
2253|A-1 Metro Mover's Omaha|July|08/10/2004|08/27/2004|$425.00|REDUCED|$0.00|09/21/2004||
2254|Coca-Cola Company|April|05/10/2004|08/30/2004|$750.00|REDUCED|$0.00|09/09/2004||$0.00
2256|Stephens & Smith Construction Company, Inc.|July|08/10/2004|08/24/2004|$350.00|REDUCED|$0.00|09/08/2004||
2259|American Banc Corporation|August|09/10/2004|10/14/2004|$750.00|REDUCED|$0.00|10/21/2004||$0.00
2260|Dillon Chevrolet|July|08/10/2004|10/15/2004|$750.00|REDUCED|$0.00|10/21/2004||$0.00
2261|DLR Group, Inc.|August|09/10/2004|11/03/2004|$750.00|PAID|||11/03/2004|$0.00
2262|Duncan Aviation|August|09/10/2004|10/22/2004|$750.00|PAID|||11/15/2004|$0.00
2263|E.I. Dupont De Nemours & Company|September|10/12/2004|10/14/2004|$50.00|REDUCED|$0.00|10/27/2004||$0.00
2264|First Data Corporation|September|10/12/2004|10/18/2004|$150.00|REDUCED|$0.00|12/30/2004||
2265|John Henry's Plumbing|July|08/10/2004|09/23/2004|$750.00|REDUCED|$0.00|10/27/2004||$0.00
2266|Judd Brothers Construction Co|August|09/10/2004|09/21/2004|$275.00|RED/PAID|$25.00|10/29/2004|10/28/2004|
2267|Olsson Associates|June|07/12/2004|09/20/2004|$750.00|RED/PAID|$25.00|10/27/2004|10/26/2004|$0.00
2268|Quantum Aggregte Supply|September|10/12/2004|10/15/2004|$75.00|REDUCED|$0.00|10/27/2004||$0.00
2269|Blue Cross Blue Shield of NE|September|10/12/2004|11/02/2004|$525.00|REDUCED|$0.00|11/16/2004||
2270|Christensen Homes of Fremont, Inc.|August|09/10/2004|11/04/2004|$750.00|REDUCED|$0.00|11/16/2004||
2271|Countryside Village, Inc.|September|10/12/2004|10/27/2004|$375.00|RED/PAID|$25.00|11/16/2004|11/16/2004|
2272|Darland Construction Company|June|07/12/2004|10/26/2004|$750.00|REDUCED|$0.00|12/09/2004||$0.00
2273|Darland Construciton Company|September|10/12/2004|10/26/2004|$350.00|REDUCED|$0.00|12/09/2004||$0.00
2274|First Data Corporation|September|10/12/2004|10/28/2004|$400.00|PAID|||11/22/2004|
2275|HDM Corporation|August|09/10/2004|10/25/2004|$750.00|PAID|||11/16/2004|
2276|Langvardt & Valle, PC|April|05/10/2004|11/03/2004|$750.00|REDUCED|$0.00|11/16/2004||
2277|Lincoln Plating|August|09/10/2004|10/25/2004|$750.00|RED/PAID|$25.00|11/22/2004|11/22/2004|$0.00
2278|M.E. Collins Contracting Co., Inc.|August|09/10/2004|10/25/2004|$750.00|REDUCED|$0.00|11/10/2004||
2279|M.E. Collins Contracting Co., Inc.|September|10/12/2004|10/25/2004|$325.00|REDUCED|$0.00|11/10/2004||
2280|NE Land Title & Abstract|May|06/10/2004|10/27/2004|$750.00|REDUCED|$0.00|11/10/2004||$0.00
2281|NE Land Title & Abstract|July|08/10/2004|10/27/2004|$750.00|REDUCED|$0.00|11/10/2004||
2282|Nrohkle, Inc.|July|08/10/2004|11/01/2004|$750.00|REDUCED|$0.00|11/16/2004||
2283|Re/Max Advantage|May|06/10/2004|11/05/2004|$750.00|REDUCED|$0.00|11/16/2004||$0.00
2284|Re/Max Advantage|August|09/10/2004|11/05/2004|$750.00|REDUCED|$0.00|11/16/2004||$0.00
2285|Security Land Title & Escrow Co|June|07/12/2004|10/27/2004|$750.00|REDUCED|$0.00|11/10/2004||
2286|Sid Dillon Chevrolet-Buick-Pontiac|May|06/10/2004|11/03/2004|$750.00|RED/PAID|$25.00|11/19/2004|11/19/2004|$0.00
2287|Sigerson Insurance Agency|April|05/10/2004|10/27/2004|$750.00|REDUCED|$0.00|11/16/2004||$0.00
2288|Time Warner Cable|September|10/12/2004|11/12/2004|$750.00|REDUCED|$0.00|11/18/2004||$0.00
2289|Mike's Moving, Inc.|August|09/10/2004|11/08/2004|$750.00|REDUCED|$0.00|11/18/2004||$0.00
2290|Century 21 Wear Company|June|07/12/2004|11/16/2004|$750.00|REDUCED|$0.00|12/02/2004||
2291|Cody Keno|August|09/10/2004|12/01/2004|$750.00|PAID|||12/01/2004|$0.00
2292|Gross Seed Co., Inc.|October|11/10/2004|12/01/2004|$525.00|REDUCED|$0.00|12/10/2004||$0.00
2293|JJ Kat, Inc. dba Brewsky's|October|11/10/2004|12/02/2004|$550.00|REDUCED|$0.00|12/10/2004||$0.00
2294|Journal Star Printing Co.|September|10/12/2004|11/01/2004|$500.00|PAID|||12/15/2004|
2295|K & Z Distributors|October|11/10/2004|11/22/2004|$300.00|REDUCED|$0.00|12/03/2004||
2296|McMannama & Associates, Inc.|April|05/10/2004|11/30/2004|$750.00|REDUCED|$0.00|12/10/2004||
2297|McMannama & Associates, Inc.|October|11/10/2004|11/30/2004|$500.00|REDUCED|$0.00|12/10/2004||$0.00
2298|Missouri River Title|July|08/10/2004|11/30/2004|$750.00|RED/PAID|$25.00|12/16/2004|12/16/2004|
2299|Mitchell & Associates|July|08/10/2004|11/23/2004|$750.00|REDUCED|$0.00|12/10/2004||
2300|Paxton-Mitchell Company|August|09/10/2004|11/19/2004|$750.00|REDUCED|$0.00|12/02/2004||
2301|Saint Elizabeth Regional Medical Center|October|11/10/2004|11/29/2004|$475.00|REDUCED|$0.00|12/10/2004||
2302|VVS, Inc.|October|11/10/2004|11/22/2004|$300.00|REDUCED|$0.00|12/03/2004||
2303|WA Enterprises, Inc.|September|10/12/2004|12/02/2004|$750.00|REDUCED|$0.00|12/10/2004||
2304|Wiles Brothers Fertilizer, Inc.|August|09/10/2004|11/16/2004|$750.00|REDUCED|$0.00|12/02/2004||
2305|Sarpy County FOP Lodge #3|October|11/04/2004|12/06/2004|$650.00|REDUCED|$0.00|12/30/2004||$0.00
2306|Absolutely Fresh Seafood Company|October|11/10/2004|12/17/2004|$750.00|REDUCED|$0.00|12/23/2004||$0.00
2307|Art Jetter & Company|October|11/14/2004|12/15/2004|$750.00|REDUCED|$0.00|12/30/2004||$0.00
2308|Beynon Farm Products Corporation|October|11/10/2004|12/21/2004|$750.00|REDUCED|$0.00|12/30/2004||$0.00
2309|Brown Construction, Inc.|September|10/12/2004|12/15/2004|$750.00|REDUCED|$0.00|12/23/2004||$0.00
2310|Complete Concrete, Inc.|August|09/10/2004|12/21/2004|$750.00|REDUCED|$0.00|02/01/2005||$0.00
2311|Croker, Huck, Kasher, DeWitt, Anderson & Gonderinger|November|12/10/2004|12/21/2004|$275.00|RED/PAID|$25.00|02/08/2005|02/04/2005|$0.00
2312|Dimatic Die and Tool Co.|January|02/10/2004|12/21/2004|$750.00|REDUCED|$0.00|02/01/2005||$0.00
2313|DRI Title & Escrow|August|09/10/2004|12/17/2004|$750.00|REDUCED|$0.00|01/05/2005||$0.00
2314|DRI Title & Escrow|September|10/12/2004|12/17/2004|$750.00|REDUCED|$0.00|01/05/2005||$0.00
2315|DRI Title & Escrow|November|12/10/2004|12/17/2004|$175.00|RED/PAID|$25.00|01/05/2005|01/04/2005|$0.00
2316|DTH3 Inc.|April|05/10/2004|12/21/2004|$750.00|REDUCED|$0.00|02/09/2005||$0.00
2317|First Data Corporation|November|12/10/2004|12/15/2004|$125.00|PAID|||01/06/2005|$0.00
2318|Gazelle Communications, Inc.|April|05/10/2004|12/21/2004|$750.00|REDUCED|$0.00|02/01/2005||
2319|GP Direct|April|05/10/2004|12/21/2004|$750.00|REDUCED|$0.00|01/13/2005||
2320|Hauptman, O'Brien, Wolf & Lathrop|June|07/12/2004|12/23/2004|$750.00|REDUCED|$0.00|12/30/2004||
2321|Health Care Suppliers|June|07/12/2004|12/16/2004|$750.00|REDUCED|$0.00|12/23/2004||$0.00
2322|Midlands Land Title & Abstract|May|06/10/2004|12/17/2004|$750.00|REDUCED|$0.00|12/30/2004||$0.00
2323|Midlands Land Title & Abstract|October|11/10/2004|12/17/2004|$750.00|REDUCED|$0.00|12/30/2004||
2324|Midlands Land Title & Abstract|November|12/10/2004|12/17/2004|$175.00|REDUCED|$0.00|12/30/2004||$0.00
2325|Midwest Laboratories, Inc.|September|10/12/2004|12/21/2004|$750.00|REDUCED|$0.00|01/05/2005||$0.00
2326|MPE Investments, Inc.|October|11/10/2004|12/15/2004|$750.00|REDUCED|0.00|11/01/2005||
2327|Nabity Financial Group|June|07/12/2004|12/21/2004|$750.00|REDUCED|$0.00|12/30/2004||$0.00
2328|NE Hospital Association|April|05/10/2004|12/14/2004|$750.00|PAID|||01/05/2005|$0.00
2329|RDG Schutte Wilscam Birge Inc.|November|12/10/2004|12/13/2004|$75.00|REDUCED|$0.00|12/30/2004||$0.00
2330|Richard J. Coenen, PC|July|08/10/2004|12/16/2004|$750.00|REDUCED|$0.00|12/23/2004||$0.00
2331|Subzero Transportation, Inc.|April|05/10/2004|12/21/2004|$750.00|REDUCED|$0.00|02/01/2005||$0.00
2332|Tenet Healthcare Corporation|November|12/10/2004|12/27/2004|$425.00|PAID|||01/28/2005|$0.00
2333|TFF, Inc.|November|12/10/2004|12/15/2004|$125.00|REDUCED|$0.00|02/01/2005||$0.00
2334|University of NE Foundation|July|08/10/2004|12/14/2004|$750.00|REDUCED|$0.00|12/23/2004||$0.00
2335|FMA Realty dba NAI FMA Realty|November|12/10/2004|12/28/2004|$450.00|REDUCED|$0.00|01/13/2005||$0.00
2336|Huntel Systems|November|12/10/2004|12/27/2004|$425.00|PAID|||01/26/2005|$0.00
2337|Benchmark Homes, Inc.|August|09/10/2004|01/20/2005|$750.00|REDUCED|$0.00|02/17/2005||$0.00
2338|Century Sales & Management Company|November|12/10/2004|01/04/2005|$625.00|REDUCED|$0.00|02/01/2005||
2339|CHZM HILL|November|12/10/2004|01/20/2005|$750.00|REDUCED|$0.00|04/01/2005||$0.00
2340|Credit Management|March|04/12/2004|01/21/2005|$750.00|REDUCED|$0.00|02/01/2005||$0.00
2341|Curt Hofer Construction|December|01/10/2005|01/19/2005|$225.00|PAID|||02/09/2005|$0.00
2342|Summit Realty Group|April|05/10/2004|01/04/2005|$750.00|REDUCED|$0.00|02/09/2005||$0.00
2343|Cox Nebraska Telcom, LLC|December|01/10/2005|01/13/2005|$75.00|PAID|||02/11/2005|$0.00
2344|Haberlan Enterprises|June|07/12/2004|01/11/2005|$750.00|REDUCED|$0.00|02/09/2005||$0.00
2345|Hearthstone Homes|December|01/10/2005|01/14/2005|$100.00|REDUCED|$0.00|02/17/2005||$0.00
2346|Ord Memorial Chapel, Inc.|October|11/10/2004|01/13/2005|$750.00|REDUCED|$0.00|02/09/2005||$0.00
2347|Pinnacle Bank|December|01/10/2005|01/13/2005|$75.00|PAID|||02/22/2005|$0.00
2348|Security Land Title|December|01/10/2005|01/13/2005|$75.00|RED/PAID|$25.00|03/07/2005|03/07/2005|$0.00
2349|Valmont Industries, Inc.|November|12/10/2003|01/12/2005|$750.00|REDUCED|$0.00|02/17/2005||$0.00
2350|Watkins Concrete Block Company, Inc.|December|01/10/2005|01/12/2005|$50.00|REDUCED|$0.00|02/17/2005||
2351|Anderson Properties|December|01/10/2005|02/01/2005|$550.00|REDUCED|$0.00|02/16/2005||$0.00
2352|Boyer Young Real Estate|July|08/10/2004|02/04/2005|$750.00|REDUCED|0.00|10/12/2005||
2353|Boyer Young Real Estate|November|12/10/2004|02/04/2005|$750.00|RED/PAID|25.00|10/12/2005|10/06/2005|
1746|Frost Feeding Co., Inc|January|02/12/2001|04/13/2001|$750.00|REDUCED|$0.00|05/02/2001||
1747|Hauptman, O'Brien, Wolf & Lathrop, PC|October|11/13/2000|04/19/2001|$750.00|REDUCED|$0.00|05/02/2001||
1748|Lustgarten & Roberts, PC|November|12/11/2000|04/18/2001|$750.00|REDUCED|$0.00|05/02/2001||
1749|Mulhall's Nursery|January|02/12/2001|04/09/2001|$750.00|REDUCED|$0.00|05/02/2001||
1750|NE Telecommunications Association|January|02/12/2001|04/13/2001|$750.00|REDUCED|$0.00|05/18/2001||
1751|NE Telecommunications Association|February|03/12/2001|04/13/2001|$750.00|REDUCED|$0.00|05/18/2001||
1752|Property Owners Association|February|03/12/2001|04/11/2001|$750.00|REDUCED|$0.00|05/02/2001||
1753|Tagge & Rutherford Financial Group|April|05/10/2000|04/20/2001|$750.00|REDUCED|$0.00|08/13/2001||
1754|U.S. Bank|June|07/10/2000|04/03/2001|$750.00|REDUCED|$0.00|05/18/2001||
1755|Vincenzo's Midtown|March|04/10/2001|04/17/2001|$175.00|PAID|||05/17/2001|
1756|Welch Law Firm|February|03/12/2001|04/18/2001|$750.00|REDUCED|$0.00|05/02/2001||
1757|Anderson Partners, Inc.|January|02/12/2001|04/04/2001|$750.00|REDUCED|$0.00|05/08/2001||
1758|Metro Engineers, Inc.|February|03/12/2001|04/03/2001|$750.00|PAID|||05/06/2002|
1850|Blue River Land Corporation|October|11/13/2001|01/22/2002|$750.00|PAID|||01/22/2002|
1852|Archer Daniels Midland|December|01/10/2002|01/14/2002|$100.00|PAID|||02/22/2002|
1853|Greater Omaha Packing|December|01/10/2002|01/16/2002|$150.00|RED/PAID|$25.00|02/28/2002|02/28/2002|
1855|Int'l Union of Painters & Allied Trades Legis. & Educ. Committee|May|06/11/2001|01/17/2002|$750.00|REDUCED|$0.00|03/21/2002||
1856|Solutionary, Inc.|December|01/10/2002|01/14/2002|$100.00|PAID|||03/04/2002|
1858|Blue Cross & Blue Shield of NE|April|05/10/2001|02/07/2002|$750.00|PAID|||03/07/2002|
1859|Blue Cross & Blue Shield of NE|March|04/10/2001|02/07/2002|$750.00|PAID|||03/07/2002|
1860|G&S, Inc.|October|11/12/2001|02/05/2002|$750.00|PAID|||02/25/2002|
1861|Huntel Systems|December|01/10/2002|01/14/2002|$100.00|REDUCED|$0.00|02/20/2002||
1862|Wells Fargo Bank Nebraska, N.A.|January|02/12/2001|02/12/2002|$750.00|PAID|||02/21/2002|
1863|Anheuser-Busch|August|09/10/2001|02/19/2002|$750.00|PAID|||04/15/2002|
1864|Delta Futures Group|November|12/10/2001|02/14/2002|$750.00|REDUCED|$0.00|02/25/2002||
1865|Tuttle, Inc.|October|01/12/2001|02/15/2002|$750.00|REDUCED|$0.00|02/25/2002||
1866|MindVision, Inc.|December|01/10/2001|02/26/2002|$750.00|PAID|||02/26/2002|
1867|Mulhall's Nursery|October|11/12/2001|02/06/2002|$750.00|RED/PAID|$25.00|03/15/2002|03/15/2002|
1868|Greater Omaha Packing|November|12/10/2001|02/01/2002|$750.00|REDUCED|$0.00|02/26/2002||
1870|Gross & Welch|January|02/11/2002|02/15/2002|$100.00|REDUCED|$0.00|03/05/2002||
1871|Niederhaus Bros Refuse|December|01/10/2002|01/29/2002|$475.00|PAID|||03/12/2002|
1872|Agromac International Inc.|December|01/10/2002|02/22/2002|$750.00|REDUCED|$0.00|03/04/2002||
1873|Cinnamon Creek Land Corp.|July|08/10/2001|02/19/2002|$750.00|REDUCED|$0.00|03/04/2002||
1874|First Data Corporation|January|02/11/2002|02/19/2002|$200.00|REDUCED|$0.00|03/18/2002||
1875|Lincoln Benefit Life Company|August|09/10/2001|02/21/2002|$750.00|PAID|||03/15/2002|
1876|Pacific Realty Group, Inc.|October|11/12/2001|02/20/2002|$750.00|PAID|||03/14/2002|
1877|Pinnacle Bancorp Inc|November|12/10/2001|02/20/2002|$750.00|REDUCED|$0.00|03/04/2002||
1878|Plumbers Local Union #16 |January|04/10/2001|02/22/2002|$750.00|REDUCED|$0.00|03/06/2002||
1879|Nebraska Machinery Co|November|12/10/2001|02/19/2002|$750.00|REDUCED|$0.00|03/05/2002||
1880|American Title, Inc.|April|05/10/2001|02/28/2002|$750.00|REDUCED|$0.00|03/12/2002||
1881|American Title, Inc.|July|08/10/2001|02/28/2002|$750.00|REDUCED|$0.00|03/12/2002||
1882|Ameritas Life Insurance Corp|September|10/10/2001|03/01/2002|$750.00|PAID|||03/26/2002|
1883|Dellaman, Inc|September|10/10/2001|02/27/2002|$750.00|REDUCED|$0.00|03/12/2002||
1884|Dave Janke Plumbing Co., Inc.|September|10/10/2001|03/07/2002|$750.00|REDUCED||03/21/2002||
1885|Dave Janke Plumbing Co., Inc.|October|11/13/2001|03/07/2002|$750.00|RED/PAID|$25.00|03/21/2002|03/21/2002|
1886|Miller-Monroe Co.|July|08/10/2001|03/07/2002|$750.00|REDUCED|$0.00|03/14/2002||
1887|PayPal, Inc.|April|05/10/2001|02/28/2002|$750.00|REDUCED|$0.00|03/12/2002||
1888|Pioneer Lock Co. DBA Pioneer Communication|April|05/10/2001|03/06/2002|$750.00|REDUCED|$0.00|03/14/2002||
1889|Pioneer Lock DBA Pioneer Communication|August|09/10/2001|03/06/2002|$750.00|REDUCED|$0.00|03/14/2002||
1890|Thompson, Dreessen & Dorner, Inc.|January|02/11/2002|03/01/2002|$450.00|REDUCED|$0.00|03/18/2002||
1891|Woods Bros Realty|September|10/10/2001|02/27/2002|$750.00|REDUCED|$0.00|03/18/2002||
1892|Ameritas Life Insurance Corp.|July|08/10/2001|01/04/2002|$750.00|PAID|||03/26/2002|
1894|Utilicorp United|February|03/12/2001|07/16/2001|$750.00|PAID|||04/05/2002|
1895|Utilicorp United|April|05/10/2001|03/14/2002|$750.00|PAID|||04/05/2002|
1896|Utilicorp United|December|01/10/2002|03/14/2002|$750.00|PAID|||04/05/2002|
1897|Allender & Associates|June|07/10/2001|03/13/2002|$750.00|RED/PAID|$25.00|04/05/2002|04/05/2002|
1898|C & A Industries, Inc.|December|01/10/2002|03/11/2002|$750.00|REDUCED|$0.00|03/27/2002||
1899|Madsen's Bowling & Billards|January|02/11/2002|03/15/2002|$750.00|REDUCED|$0.00|03/27/2002||
1900|Nedelco, Inc.|January|02/11/2002|03/15/2002|$750.00|REDUCED|$0.00|03/26/2002||
1901|Simon Property Group|October|11/12/2001|03/14/2002|$750.00|REDUCED|$0.00|03/27/2002||
1902|Blue Cross & Blue Shield of NE|January|07/20/2001|03/15/2002|$750.00|PAID|||04/10/2002|
1903|Leo A. Daly, Co.|February|03/11/2002|03/19/2002|$200.00|REDUCED|$0.00|05/28/2002||
1904|Richard J. Dinsmore, PC|January|02/11/2002|03/22/2002|$750.00|REDUCED|$0.00|04/22/2002||
1905|Fraternal Order of Police Lodge #3|November|12/10/2001|03/21/2002|$750.00|REDUCED|$0.00|04/01/2002||
1906|Huntel Systems|June|07/10/2001|03/21/2002|$750.00|PAID|||04/11/2002|
1907|Liberty Property Management Company|July|08/10/2002|03/18/2002|$750.00|REDUCED|$0.00|04/01/2002||
1908|Nebraska State Bank of Omaha|November|12/10/2001|03/20/2002|$750.00|REDUCED|$0.00|04/01/2002||
1909|SAM Properties, Inc.|October|11/12/2001|03/13/2002|$750.00|REDUCED|$0.00|04/04/2002||
1910|V V S, Inc.|January|02/11/2002|03/18/2002|$750.00|REDUCED|$0.00|04/01/2002||
1911|Dan Witt Builders, Inc.|August|09/10/2001|03/25/2002|$750.00|PAID|||04/09/2002|
1912|Richard J. Dinsmore, P.C.|January|02/11/2002|03/22/2002|$750.00|REDUCED|$0.00|04/22/2002||
1913|InfoUSA, Inc.|March|04/10/2002|04/19/2002|$225.00|PAID|||05/10/2002|
1914|Motorola, Inc.|March|04/10/2002|04/11/2002|$25.00|REDUCED|$0.00|05/28/2002||
1915|Pinnacle Bank Aurora Branch|January|02/11/2002|04/16/2002|$750.00|REDUCED|$0.00|05/01/2002||
1916|Risky's, Inc.|February|03/11/2002|04/19/2002|$750.00|REDUCED|$0.00|05/01/2002||
1917|Heritage Bank|January|02/11/2002|04/16/2002|$750.00|REDUCED|$0.00|05/01/2002||
1918|Business Management Solutions, Inc.|December|01/10/2002|04/02/2002|$750.00|REDUCED|$0.00|10/25/2002||
1919|B&B-Q, Inc.|February|03/11/2002|04/22/2002|$750.00|REDUCED|$0.00|05/17/2002||
1920|Birchwood Homes, Inc.|July|08/10/2001|04/22/2002|$750.00|REDUCED|$0.00|05/28/2002||
1921|Great Plains Communications|February|03/11/2002|05/10/2002|$750.00|PAID|||05/30/2002|
1922|McManus Enterprises, Inc. dba Heidelberg's|February|03/11/2002|04/24/2002|$750.00|REDUCED|$0.00|05/14/2002||
1923|Gregg Young Chevrolet, Inc.|March|04/10/2002|04/29/2002|$475.00|REDUCED|$0.00|05/17/2002||
1925|ENR Services, Inc.|January|02/11/2002|05/13/2002|$750.00|REDUCED|$0.00|05/24/2002||
1926|NE Elk Breeders Association|April|05/10/2002|05/13/2002|$75.00|REDUCED|$0.00|05/24/2002||
1927|Omaha Truck Center, Inc.|February|03/11/2002|05/13/2002|$750.00|REDUCED|$0.00|05/24/2002||
1928|Schaefer Electric Inc.|February|03/11/2002|05/14/2002|$750.00|REDUCED|$0.00|05/29/2002||
1929|Scottsbluff Police Officers Association|March|04/10/2002|05/13/2002|$750.00|REDUCED|$0.00|05/24/2002||
1930|Texaco Liquor Mart|March|04/10/2002|05/13/2002|$750.00|REDUCED|$0.00|06/05/2002||
1931|West Corporation|December|01/10/2002|04/05/2002|$750.00|PAID|||12/18/2002|
1932|West Corporation|January|02/11/2002|04/05/2002|$750.00|REDUCED|$0.00|05/24/2002||
1933|Tyro Farms, Inc.|March|04/10/2002|05/17/2002|$750.00|REDUCED|$0.00|05/28/2002||
1934|Commercial Investment Properties|March|04/10/2002|05/29/2002|$750.00|REDUCED|$0.00|06/24/2002||
1935|Cornerstone Bank, N.A.|January|02/10/2002|05/21/2002|$750.00|REDUCED|$0.00|06/24/2002||
1936|Dixie Quicks|April|05/10/2002|05/20/2002|$250.00|REDUCED|$0.00|11/03/2003||
1937|HOME Real Estate|March|04/10/2002|05/29/2002|$750.00|REDUCED|$0.00|06/24/2002||
