ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
1695|Takechi for Register of Deeds|04 Post Primary Campaign Statement|06/21/2004|06/28/2004|$175.00|PAID|||08/20/2004|Takechi|Richard|$0.00
1696|Takechi for Register of Deeds|Report of Late Contribution|05/09/2004|06/28/2004|$3000.00|REDUCED|$0.00|08/17/2004||Takechi|Richard|$0.00
1697|Committee to Re-Elect Tom Garvey|Statement of Organization|07/20/2004|07/29/2004|$225.00|REDUCED|$0.00|02/15/2005||Garvey|Tom|$0.00
1698|Committee to Elect Allen Curtis Johnson|Report of Late Contribution|05/07/2004|07/27/2004|$3000.00|REDUCED|0.00|08/12/2005|01/01/0001|Johnson|Allen Curtis|
1699|Committee to Elect Allen Curtis Johnson|04 Post Primary Campaign Statement|06/21/2004|07/27/2004|$750.00|PAID|||08/12/2005|Johnson|Allen Curtis|
1700|Schroeder for Board of Regents|04 Post Primary Campaign Statement|06/21/2004|07/16/2004|$625.00|REDUCED|$0.00|08/20/2004||Schroeder|Kent|$0.00
1701|Boone County Health Center|Report of Earmarked Contribution|11/06/2003|07/01/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1702|Columbus Medical Center|Report of Earmarked Contribution|02/01/2004|07/07/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1704|G.W. Barth, PC|Report of Earmarked Contribution|10/27/2003|06/25/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1705|Gynecology and Fertility, PC|Report of Earmarked Contribution|04/12/2004|06/23/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1706|Horizons Medical Group, PC|Report of Earmarked Contribution|10/26/2003|07/26/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1707|Interntal Medicine Associates|Report of Earmarked Contribution|01/26/2004|06/23/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1708|Kearney Clinic, PC|Report of Earmarked Contribution|01/25/2004|07/16/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1709|Kleager & Donaldson ENT Associates|Report of Earmarked Contribution|11/06/2003|06/24/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1710|Kleager Donaldson ENT Associates|Report of Earmarked Contribution|11/06/2003|06/24/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1711|Lincoln Psychiatric Group|Report of Earmarked Contribution|07/23/2004|07/30/2004|$175.00|REDUCED|$0.00|08/11/2004||||$0.00
1712|Rich Lombardi|Report of Earmarked Contribution|05/24/2004|07/21/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1713|Midwest Neurosurgery, PC|Report of Earmarked Contribution|07/19/2004|07/27/2004|$200.00|REDUCED|$0.00|08/18/2004||||$0.00
1714|NE Hematology-Oncology, PC|Report of Earmarked Contribution|03/11/2004|07/08/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1715|NE Spine Center|Report of Earmarked Contribution|12/05/2003|06/23/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1716|NE Urology Center, PC|Report of Earmarked Contribution|11/30/2003|07/28/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1717|Omaha Children\'s Clinic, PC|Report of Earmarked Contribution|02/28/2004|06/21/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1718|Omaha Ob Gyn Associates, PC|Report of Earmarked Contribution|12/08/2003|06/21/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1719|Omaha Ob Gyn Associates, PC|Report of Earmarked Contribution|12/08/2003|06/24/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1720|Panhandle Anesthesia Association, PC|Report of Earmarked Contribution|11/24/2003|07/12/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1721|Papillion Family Medical, PC|Report of Earmarked Contribution|12/04/2003|07/27/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1722|Plastic Surgical Center, PC|Report of Earmarked Contribution|07/09/2004|07/30/2004|$275.00|REDUCED|$0.00|10/19/2004||||$0.00
1723|Sandhills Oncology, PC|Report of Earmarked Contribution|12/08/2003|07/19/2004|$750.00|REDUCED|$0.00|08/11/2004||||$0.00
1724|Sutton Skin & Eye Clinic|Report of Earmarked Contribution|07/10/2004|08/06/2004|$675.00|REDUCED|$0.00|08/17/2004||||$0.00
1725|Family Ear, Nose and Throat Clinic, PC|Report of Earmarked Contribution|08/06/2004|08/16/2004|$250.00|REDUCED|$0.00|08/31/2004||||$0.00
1726|Hastings Orthopedaetic & Sports Medicine Specialists, PC|Report of Earmarked Contribution|08/12/2004|08/18/2004|$150.00|REDUCED|$0.00|10/19/2004||||$0.00
1727|NE Urology Center, PC|Report of Earmarked Contribution|12/01/2003|08/10/2004|$750.00|REDUCED|$0.00|08/23/2004||||$0.00
1728|Oncology Hematology West PC|Report of Earmarked Contribution|07/23/2004|08/17/2004|$625.00|REDUCED|$0.00|09/21/2004||||$0.00
1729|Oncology Hematology West PC|Report of Earmarked Contribution|07/23/2004|08/17/2004|$625.00|REDUCED|$0.00|09/21/2004||||$0.00
1730|Oncology Hematology West PC|Report of Earmarked Contribution|07/23/2004|08/17/2004|$625.00|REDUCED|$0.00|09/21/2004||||$0.00
1731|Oncology Hematology West PC|Report of Earmarked Contribution|07/23/2004|08/17/2004|$625.00|REDUCED|$0.00|09/21/2004||||$0.00
1732|Oncology Hematology West PC|Report of Earmarked Contribution|07/23/2004|08/17/2004|$625.00|REDUCED|$0.00|09/21/2004||||$0.00
1733|Oncology Hematology West PC|Report of Earmarked Contribution|07/23/2004|08/17/2004|$625.00|REDUCED|$0.00|09/21/2004||||$0.00
1734|North Lincoln Family Medical Center|Report of Earmarked Contribution|07/26/2004|07/30/2004|$100.00|REDUCED|$0.00|09/09/2004||||$0.00
1735|Radiologic Center, Inc.|Report of Earmarked Contribution|01/15/2004|08/23/2004|$750.00|REDUCED|$0.00|09/09/2004||||$0.00
1736|Ray Aguilar for Legislature|04 Post Primary Campaign Statement|06/21/2004|06/24/2004|$75.00|PAID|||09/27/2004|Aguilar|Ray|$0.00
1737|Internal Medicine Associates|Report of Earmarked Contribution|08/23/2004|08/26/2004|$75.00|REDUCED|$0.00|09/22/2004||||$0.00
1738|Lincoln Chamber of Commerce|Report of Earmarked Contribution|09/07/2004|09/09/2004|$50.00|REDUCED|$0.00|10/07/2004||||$0.00
1739|Lincoln Chamber of Commerce|Report of Earmarked Contribution|09/07/2004|09/09/2004|$50.00|REDUCED|$0.00|10/07/2004||||$0.00
1740|Lincoln Chamber of Commerce|Report of Earmarked Contribution|09/07/2004|09/09/2004|$50.00|REDUCED|$0.00|10/07/2004||||$0.00
1741|Lincoln Chamber of Commerce|Report of Earmarked Contribution|09/07/2004|09/09/2004|$50.00|REDUCED|$0.00|10/07/2004||||$0.00
1742|NE Urology Center, PC|Report of Earmarked Contribution|11/30/2003|09/14/2004|$750.00|REDUCED|$0.00|09/23/2004||||$0.00
1743|OrthoWest|Report of Earmarked Contribution|08/23/2004|08/31/2004|$200.00|REDUCED|$0.00|09/21/2004||||$0.00
1745|Nebraskans United for Life|04 Post Primary Campaign Statement|06/21/2004|09/16/2004|$750.00|REDUCED|$0.00|09/28/2004||||$0.00
1746|OrthoWest|Report of Earmarked Contribution|08/26/2004|09/13/2004|$450.00|REDUCED|$0.00|09/28/2004||||$0.00
1747|Pain Management Consultants, PC|Report of Earmarked Contribution|08/30/2004|09/14/2004|$375.00|REDUCED|$0.00|09/23/2004||||$0.00
1748|Kim Peterson for State Board of Education|04 1st General Campaign Statement|10/04/2004|10/06/2004|$50.00|PAID|||10/12/2005|Peterson|Kim|
1880|Citizens for Gernandt|Report of Late Contribution|03/28/2005|05/02/2005|3000.00|REDUCED|0.00|08/01/2005||Gernandt|Gary|
1860|Citizens for Millard Public Schools|Report of Late Contribution|02/10/2005|03/29/2005|3000.00|REDUCED|0.00|04/25/2005||||
1873|Joel Johnson for Legislature|04 Post General Election Campaign Statement|01/11/2005|02/01/2005|525.00|PAID|||08/05/2005|Johnson|Joel|
1875|Kruse for Legislature|04 Post General Election Campaign Statement|01/11/2005|01/18/2005|175.00|PAID|||05/13/2005|Kruse|Lowen|
1881|Citizens for Gernandt|Report of Late Contribution|04/04/2005|05/02/2005|2800.00|REDUCED|0.00|08/01/2005||Gernandt|Gary|
1882|Citizens for Gernandt|Report of Late Contribution|03/31/2005|05/02/2005|3000.00|REDUCED|0.00|08/01/2005||Gernandt|Gary|
1883|Citizens for Gernandt|Report of Late Contribution|03/31/2005|05/02/2005|3000.00|REDUCED|0.00|08/01/2005||Gernandt|Gary|
1884|Citizens for Gernandt|Report of Late Contribution|04/04/2005|05/02/2005|2800.00|REDUCED|0.00|08/01/2005||Gernandt|Gary|
1885|Citizens for Gernandt|Report of Late Contribution|03/28/2005|05/02/2005|3000.00|REDUCED|0.00|08/01/2005||Gernandt|Gary|
1886|Carol Hudkins Legislative Committee|04 Post General Election Campaign Statement|01/11/2005|01/12/2005|25.00|REDUCED|0.00|||Hudkins|Carol|
1914|Prettyman for School Board|05 Post General Campaign Statement|06/13/2005|06/14/2005|25.00|PAID|||07/06/2005|||
1889|Metro Omaha Builders Association PAC|Report of Late Contribution|04/28/2005|05/03/2005|500.00|PAID|||07/19/2005|||
1892|Contemporary Obstetrics & Gynecology, PC|Report of Earmarked Contribution|05/20/2005|05/26/2005|150.00|PAID|||11/08/2005|||
1893|Virgil Froehlich for NPPD Board|Report of Late Contribution|10/25/2004|01/04/2005|3000.00|REDUCED|0.00|07/11/2005||||
1898|Committee to Elect John Murante|04 Post General Campaign Statement|01/11/2005|01/20/2005|225.00|PAID|||10/14/2005|||
1899|NE Republican Party|Report of Late Contribution|03/31/2005|04/26/2005|2600.00|REDUCED|0.00|08/10/2005|08/10/2005|||
1900|NE Republican Party|Report of Late Contribution|04/01/2005|04/26/2005|2500.00|REDUCED|0.00|08/10/2005|08/10/2005|||
1901|NE Republican Party|Report of Late Contribution|04/04/2005|04/26/2005|2200.00|REDUCED|0.00|08/10/2005|08/10/2005|||
1902|NE Republican Party|Report of Late Contribution|03/24/2005|04/26/2005|3000.00|REDUCED|0.00|08/10/2005|08/10/2005|||
1903|NE Republican Party|Report of Late Contribution|04/06/2005|04/26/2005|2000.00|RED/PAID|25.00|08/10/2005|08/10/2005|||
1904|Prettyman for School Board|05 2nd General Campaign Statement|04/25/2005|04/28/2005|75.00|REDUCED|0.00|06/21/2005||Prettyman|Keith|
1905|Prettyman for School Board|Pre-Election Exemption Statement|03/07/2005|04/28/2005|750.00|REDUCED|0.00|06/21/2005||Prettyman|Keith|
1907|Citizens for Shoecraft|04 Annual Campaign Statement|01/31/2005|04/11/2005|750.00|REDUCED|0.00|06/16/2005||Shoecraft|Jerry|
1908|Committee to Elect Jim Suttle|05 2nd General Campaign Statement|05/02/2005|05/04/2005|50.00|PAID|||06/17/2005|Suttle|Jim|
1909|Williams Family Medicine, PC|Report of Earmarked Contribution|04/28/2005|05/23/2005|625.00|REDUCED|0.00|06/07/2005||||
1920|Lancaster County Democrats|05 2nd Primary Campaign Statement|03/28/2005|06/20/2005|750.00|REDUCED|0.00|07/01/2005||||
1921|Lancaster County Democrats|05 2nd General Election Campaign Statement|04/25/2005|06/20/2005|750.00|PAID|||10/12/2005|||
1958|Committee to Put Kids First|Report of Late Contribution|09/07/2005|10/24/2005|3000.00|REDUCED|0.00|01/17/2008||||
1927|Lancaster County Republican Party|05 2nd General Election Campaign Statement|04/25/2005|04/27/2005|50.00|PAID|||07/05/2005|||
1928|Nebraska PAC|05 Post General Campaign Statement|06/20/2005|06/22/2005|50.00|REDUCED|0.00|08/30/2005||||
1929|NE Republican Party|Report of Late Contribution|05/02/2005|06/14/2005|3000.00|PAID|||09/13/2005|||
1931|Steamfitters & Plumbers LU 464 PAC Fund|05 Post General Campaign Statement|06/20/2005|06/30/2005|250.00|PAID|||07/15/2005|||
1949|Heart, Lung & Vascular Surgery, PC|Report of Earmarked Contribution|12/05/2003|06/24/2005|750.00|REDUCED|0.00|09/22/2005||||
1933|Shawn Traudt for City Council|05 Post General Campaign Statement|06/13/2005|06/16/2005|75.00|PAID|||09/09/2005|Traudt|Shawn|
1934|Greg Adams|CFLA-1|06/13/2005|07/07/2005|600.00|REDUCED|0.00|07/18/2005||||
1942|Anne Boyle for City Council|Report of Late Contribution|05/09/2005|06/21/2005|3000.00|REDUCED||08/05/2005||Boyle|Anne|
1943|Anne Boyle for City Council|Report of Late Contribution|05/09/2005|06/21/2005|3000.00|RED/PAID|25.00|08/05/2005|08/05/2005|Boyle|Anne|
1944|Alternative Builidng Construction Site|Statement of Organization|07/25/2005|07/29/2005|100.00|REDUCED|0.00|09/15/2005|09/15/2005|||
1950|Lancaster County Democrats|05 Post General Campaign Statement|06/13/2005|06/20/2005|175.00|PAID|||10/12/2005|||
1946|Hematology & Oncology Consultants, PC|Report of Earmarked Contribution|07/21/2005|07/25/2005|100.00|PAID|||09/02/2005|||
1947|NE Pulmonary Critical Care|Report of Earmarked Contribution|07/25/2005|07/27/2005|50.00|REDUCED|0.00|09/08/2005||||
1959|Committee to Put Kids First|Report of Late Contribution|09/14/2005|10/24/2005|3000.00|REDUCED|0.00|01/17/2008||||
1962|Nebraskans for Local Schools|October Monthly Campaign Statement|11/01/2005|12/02/2005|750.00|PAID|||01/23/2006|||
1972|Trucker\'s PAC|05 1st Primary Campaign Statement|03/07/2005|01/31/2006|750.00|REDUCED|0.00|03/20/2006||||
1995|Business & Agriculture for Education|06 2nd Primary Campaign Statement|05/01/2006|05/03/2006|50.00|PAID|||05/26/2006|||
1996|Jan Davis for Sarpy County Commissioner|Statement of Organization|04/26/2006|05/02/2006|150.00|REDUCED|0.00|05/30/2006||||
1994|Alternative Building Construction Site|06 Post Election Campaign Statement|03/24/2006|04/11/2006|375.00|RED/PAID|25.00|06/08/2006|06/08/2006|||
1980|Green for OPPD Committee|05 Annual Campaign Statement|01/31/2006|02/03/2006|75.00|REDUCED|0.00|03/28/2006||Green|John|
1985|Southwest Nebraska Economic Security Committee|05 Annual Campaign Statement|01/31/2006|03/01/2006|725.00|REDUCED|0.00|03/15/2006||||
1997||CFLA-1|02/13/2006|05/01/2006|750.00|REDUCED|0.00|05/10/2006||Dierks|Merton|
1998|Dierks for Legislature|Statement of Organization|02/13/2006|05/01/2006|750.00|REDUCED|0.00|05/10/2006||||
1999|Frazier for Legislature|CFLA-4|03/17/2006|03/30/2006|325.00|REDUCED|0.00|04/27/2006||Frazier|Todd|
2000|Gustafson for Gage County Sheriff|Statement of Organization|04/19/2006|04/25/2006|150.00|REDUCED|0.00|04/27/2006||Gustafson|Millard|
2001|Joe Higgins for State Board of Education|2nd Primary Election Campaign Statement|04/10/2006|04/26/2006|400.00|REDUCED|0.00|05/02/2006||Higgins|Joe|
2002||CFLA-1|03/24/2006|04/07/2006|350.00|REDUCED|0.00|04/27/2006||McGill|Amanda|
2003||CFLA-1|04/24/2006|05/02/2006|200.00|REDUCED|0.00|05/15/2006||Pierce|Dick|
2004|Gale for Secretary of State|06 2nd Primary Campaign Statement|05/01/2006|05/02/2006|25.00|PAID|||05/25/2006|Gale|John|
2005|NE Association of Nurse Anesthetists PAC|06 1st Primary Campaign Statement|04/10/2006|04/25/2006|375.00|PAID|||05/08/2006|||
2006|Kent Rogert for Legislature|Report of Late Contribution|05/03/2006|05/17/2006|1400.00|REDUCED|0.00|05/19/2006||Rogert|Kent|
2007|Trucker\'s PAC|06 1st Primary Campaign Statement|04/10/2006|05/01/2006|525.00|PAID|||05/30/2006|||
2008|Jerry Brown for Sheriff|Report of Late Contribution|05/05/2006|05/09/2006|400.00|REDUCED|0.00|05/24/2006||Brown|Jerry|
2009|Scoular Company Fund for Effective Government|06 1st Primary Campaign Statement|04/10/2006|05/08/2006|700.00|REDUCED|0.00|05/24/2006||||
1863|Annette McRoy for City Council|04 Annual Campaign Statement|01/31/2005|04/01/2005|750.00|RED/PAID|25.00|09/12/2005|09/12/2005|McRoy|Annette|
1866|Steamfitters & Plumbers LU 464 PAC Fund|05 1st Primary Campaign Statement|03/07/2005|04/08/2005|750.00|PAID|||05/02/2005|||
1867|Steamfitters & Plumbers LU 464 PAC Fund|05 2nd Primary Campaign Statement|03/28/2005|04/08/2005|275.00|PAID|||05/02/2005|||
1868|Nancy Waite for City Council|04 Annual Campaign Statement|01/31/2005|04/04/2005|750.00|REDUCED|0.00|05/06/2005||Waite|Nancy|
1910|Mike Cavanaugh for City Council|Report of Late Contribution|05/09/2005|05/10/2005|297.09|REDUCED|0.00|07/11/2005||Cavanaugh|Mike|
1923|Tim Lonergan for City Council|05 Post General Election Campaign Statement|06/20/2005|06/22/2005|50.00|PAID|||07/13/2005|Lonergan|Tim|
1954||CFLA-1|11/14/2005|11/30/2005|400.00|REDUCED|0.00|12/08/2005||Ruff|Ronald|
1964|Community for Kids Committee|Report of Late Contribution|02/03/2006|02/07/2006|400.00|REDUCED|0.00|02/22/2006||||
1930|NE Republican Party|Report of Late Contribution |05/02/2005|06/14/2005|3000.00|PAID|||01/13/2006|||
1955|Creighton University|Report of Earmarked Contribution|10/24/2005|11/22/2005|725.00|REDUCED|0.00|05/22/2008||||
1965|Community for Kids Committee|Report of Late Contribution|02/03/2006|02/07/2006|400.00|REDUCED|0.00|02/22/2006||||
1966|Community for Kids Committee|Report of Late Contribution|02/03/2006|02/07/2006|400.00|PAID|||03/01/2006|||
1967|Community for Kids Committee|Report of Late Contribution|02/03/2006|02/07/2006|400.00|REDUCED|0.00|02/22/2006||||
1969|Faith Regional Physician Service, LLC|Report of Earmarked Contribution|11/28/2005|12/02/2005|100.00|REDUCED|0.00|02/21/2006||||
1970|Sarpy Citizens for Tim Schram|05 Annual Campaign Statement|01/31/2006|02/02/2006|25.00|PAID|||04/18/2006|Schram|Tim|
1971|Sscottsbluff Urology Associates, PC|Report of Earmarked Contribution|11/28/2005|12/08/2005|250.00|REDUCED|0.00|01/23/2006||||
1974|Trucker\'s PAC|05 Post Primary Campaign Statement|05/16/2005|01/31/2006|750.00|RED/PAID|25.00|03/20/2006|03/20/2006|||
2010|Scoular Company Fund for Effective Government|06 2nd Primary Election Campaign Statement|05/01/2006|05/08/2006|175.00|REDUCED|0.00|05/24/2006||||
2011|Committee to Re-elect Tom Garvey|Annual Statement|01/31/2006|05/18/2006|750.00|REDUCED|0.00|06/20/2007||Garvey|Tom|
2012|Rich Hurley for PSC|2nd Primary B-1|05/01/2006|05/04/2006|75.00|PAID|||06/20/2006|Hurley|Rich|
2013|Hutchings for County Board|2nd Primary B-1|05/01/2006|05/30/2006|725.00|REDUCED|0.00|||Hutchings|Kyle|
2014|Kowal for Douglas County Assessor|2nd Primary B-1|05/01/2006|05/03/2006|50.00|REDUCED|0.00|06/27/2006||Kowal|Dena |
2015|Nebraskans United for Life PAC|2005 Annual B-4|01/31/2006|05/19/2006|750.00|RED/PAID|25.00|06/30/2006|06/30/2006|||
2016|Wagner for Sheriff|2nd Primary B-1|05/01/2006|05/03/2006|50.00|PAID|||06/20/2006|Wagner|Terry|
2017|Northwestern Public Service Employees PAC NE|05 Annual|01/31/2006|05/16/2006|750.00|REDUCED|0.00|||||
2018|Dick Pierce for Legislature|CFLA-1|04/24/2006|05/02/2006|200.00|REDUCED|0.00|05/15/2006||Pierce|Dick|
2019|Pam Brown for Legislature|05 annual campaign statement|01/31/2006|06/16/2006|23.63|REDUCED|||07/13/2009|brown|pam|
2020|nebraskans for local community development and tribal self-reliance|Campaign statement, 7290024|05/01/2006|05/05/2006|100.00|PAID|||06/22/2006|||
2021|Lincoln Chamber of Commerce|post primary b-4|06/19/2006|06/21/2006|50.00|REDUCED|0.00|07/11/2006||||
2022|NE Dental PAC|post primary b-4|06/19/2006|06/21/2006|50.00|PAID|||07/11/2006|||
2024|Truckers PAC|06 Post Primary Campaign Statement|06/19/2006|06/26/2006|175.00|PAID|||08/08/2006|||
2025|Scott Walters for Cass County Sheriff|06 1st Primary Campaign Statement|04/10/2006|06/20/2006|750.00|REDUCED|0.00|06/29/2006||Walters|Scott|
2026|Scott Walters for Cass County Sheriff|06 2nd Primary Campaign Statement|05/01/2006|06/20/2006|750.00|REDUCED|0.00|06/29/2006||Walters|Scott|
2027|Committee to Re-Elect Jerry Ryan|06 2nd Primary Campaign Statement|05/01/2006|06/07/2006|750.00|REDUCED|0.00|06/30/2006||Ryan|Jerry|
2028|Tom Carlson for Legislature|B-1 Post Primary|06/19/2006|06/29/2006|250.00|REDUCED|0.00|||Carlson|Tom|
2029|Swanson for Legislature|B-1 Post Primary|06/19/2006|06/26/2006|175.00|REDUCED|0.00|07/10/2006||Swanson|Robert|
2066|NE State Nurses Association|1st General Campaign Statement|10/10/2006|10/16/2006|150.00|REDUCED|0.00|10/23/2006||||
2031|Waterclaim PEC|Post Primary B-4|06/19/2006|06/22/2006|75.00|RED/PAID|25.00|11/28/2006|11/28/2006|||
2032|N.P. \"Sandy\" Dodge for OPPD|Statement of Exemption|04/10/2006|07/05/2006|750.00|REDUCED|0.00|07/13/2006||Dodge|N.P. \"Sandy\"|
2033|David Hahn for Governor|Report of Late Contribution|05/03/2006|06/19/2006|3000.00|REDUCED|0.00|08/03/2006||Hahn|David|
2034|Arnold Stuthman Campaign Fund|Report of Late Contribution|05/05/2006|06/20/2006|3000.00|REDUCED|0.00|08/03/2006||Stuthman|Arnold|
2035|IMES FOR EDUCATION|POST PRIMARY B-1 7330142|06/19/2006|07/03/2006|350.00|REDUCED|0.00|07/25/2006||IMES|KANDI|
2036|POORE FOR LEGISLATURE|Report of Late Contribution|05/07/2006|06/19/2006|3000.00|REDUCED|0.00|09/21/2006||POORE|RICK|
2037|Hafer for Legislature|Report of Late Contribution|05/01/2006|06/21/2006|3000.00|REDUCED|0.00|08/07/2006||Hafer|Jana|
2047|Citizens for Lexington Schools|Report of Late Contribution|05/08/2006|06/16/2006|3000.00|REDUCED|0.00|09/05/2006||||
2048|Hartfield for Legislature|Statement of Organization|08/07/2006|08/08/2006|25.00|REDUCED|0.00|09/06/2006||Hartfield|Ian|
2049|Renae Rowe for Treasurer Committee|2nd Primary Campaign Statement|05/01/2006|05/03/2006|50.00|REDUCED|0.00|08/30/2006||Rowe|Renae|
2050|Wood for Treasurer|2nd Primary Campaign Statement|05/01/2006|05/12/2006|275.00|REDUCED|0.00|08/31/2006||Wood|Sharon|
2051|Roethemeyer for County Commissioner|2nd Primary Report|05/01/2006|06/19/2006|750.00|REDUCED|0.00|09/12/2006||Roethemeyer|Willis|
2052|Committee to Elect Stu Dornan|Report of Late Contribution|05/03/2006|06/20/2006|3000.00|REDUCED|0.00|08/31/2006||Dornan|Stuart|
2053|Hartfield for Legislature|CFLA-1|08/07/2006|08/21/2006|350.00|REDUCED|0.00|09/06/2006||Hartfield|Ian|
2056|Raines for Airport Authority|05 Annual Campaign Statement|01/31/2006|03/22/2006|750.00|REDUCED|0.00|12/11/2006||Raines|Edward|
2057|DeCamp for Legislature|Report of Late Contribution|04/30/2006|06/16/2006|3000.00|PAID|||03/06/2007|DeCamp|John|
2058|Committee to Elect Dan McGovern|1st Primary Campaign Statement|04/10/2006|04/12/2006|50.00|REDUCED|0.00|04/03/2007||McGovern|Dan|
2059|Committee to Elect Dan McGovern|Post Primary Campaign Statement|06/19/2006|07/14/2006|625.00|REDUCED|0.00|04/03/2007||McGovern|Dan|
2060|Committee to Elect Dan McGovern|Report of Late Contribution|05/04/2006|07/13/2006|3000.00|REDUCED|0.00|04/03/2007||McGovern|Dan|
2061|Committee to Elect Dan McGovern|Report of Late Contribution|05/07/2006|07/14/2006|3000.00|REDUCED|0.00|04/03/2007||McGovern|Dan|
2062|Crystal Rhodes for Metro Board of Governors|Statement of Organization|10/16/2006|10/17/2006|25.00|REDUCED|0.00|11/09/2006||Rhodes|Crystal|
2063|NE Equipment Dealers PAC|Post Primary Campaign Statement|06/19/2006|06/26/2006|175.00|RED/PAID|25.00|09/21/2006|09/20/2006|||
2064|Mary Kay Begley for MUD|Statement of Organization|10/16/2006|10/24/2006|200.00|REDUCED|0.00|11/09/2006||Begley|Mary Kay|
2065|Lacey for County Attornye|1st General Campaign Statement|10/10/2006|10/17/2006|175.00|REDUCED|0.00|11/09/2006||Lacey|Gary|
2067|Prokop Committee|Statement of Organization|05/08/2006|05/31/2006|575.00|PAID|||09/28/2010|Prokop|Robert|
2068|Prokop Committee|Report of Late Contribution|05/08/2006|06/20/2006|1195.93|PAID|||12/14/2010|Prokop|Robert|
1861|Citizens for Millard Public Schools|Report of Late Contribution|02/10/2005|03/29/2005|3000.00|REDUCED|0.00|04/25/2005||||
1924|Citizens for Gernandt|Report of Late Contribution|05/02/2005|05/17/2005|1500.00|RED/PAID|25.00|08/01/2005|08/01/2005|Gernandt|Gary|
1890|Alegent Health|Report of Earmarked Contribution|05/06/2005|05/12/2005|150.00|RED/PAID|25.00|06/01/2005|06/01/2005|||
1894|Koller for City Council|05 2nd Primary Campaign Statement|03/28/2005|03/31/2005|75.00|REDUCED|0.00|06/01/2005||Koller|Mark|
1939|Svoboda for City Council|05 Post General Election Campaign Statement|06/13/2005|07/13/2005|750.00|PAID|||09/06/2005|Svoboda|Ken|
1940|Dan Welch for City Council|Report of Late Contribution|05/03/2005|06/21/2005|3000.00|REDUCED|0.00|08/18/2005||||
1956|Jensen, Michael|Report of Earmarked Contribution|04/26/2004|10/20/2005|750.00|REDUCED|0.00|12/12/2005||||
1957|Jensen, Michael|Report of Earmarked Contribution|10/04/2004|10/20/2005|750.00|REDUCED|0.00|01/27/2006||||
2023|Sarpy County Republican Party|2nd Primary Campaign Statement|05/01/2006|06/13/2006|750.00|PAID|||09/11/2006|||
2086|Gustafson for Gage County Sheriff|2nd General Campaign Statement|10/30/2006|11/02/2006|75.00|REDUCED|0.00|12/20/2006||Gustafson|Millard|
2082|Mary Ann Borgeson for Douglas County Board|2nd General Election Campaign Statement|10/30/2006|11/06/2006|175.00|PAID|||12/12/2006|Borgeson|Mary Ann|
2085|Gustafson for Gage County Sheriff|1st General Campaign Statement|10/10/2006|11/02/2006|575.00|REDUCED|0.00|12/20/2006||Gustafson|Millard|
2091|Kevin Stukenholtz for Sheriff|2nd General Campaign Statement|10/30/2006|11/06/2006|175.00|REDUCED|0.00|01/05/2007||Stukenholtz|Kevin|
2097|Don Blank for Regent|Report of Late Contribution|05/06/2004|06/17/2004|3000.00|PAID|||12/13/2006|Blank|Don|
2098|Committee to Elect Ben Matchett|06 1st General Campaign Statement|10/10/2006|10/31/2006|525.00|REDUCED|0.00|11/30/2006||Matchett|Ben|
2099|Committee to Elect Ben Matchett|06 2nd General Campaign Statement|10/30/2006|10/31/2006|25.00|REDUCED|0.00|11/30/2006||Matchett|Ben|
2100|Wagner for Sheriff|06 1st General Campaign Statement|10/10/2006|10/25/2006|375.00|RED/PAID|25.00|12/15/2006|12/15/2006|Wagner|Terry|
2103|NE Petroleum Marketers PAC|2nd General Statement B-4|10/30/2006|11/02/2006|75.00|PAID|||01/12/2007|||
2104|Mines for Legislature|2nd General B-1|10/30/2006|11/08/2006|225.00|PAID|||01/04/2007|Mines|Michael|
2105|Committee to Elect Gary A. Barnard|06 2nd General Campaign Statement|10/30/2006|11/16/2006|425.00|REDUCED|0.00|01/05/2007||Barnard|Gary|
2106|James Brown for Metro Community College|Report of Late Contribution|11/02/2006|11/20/2006|1800.00|REDUCED|0.00|01/08/2007||Brown|James |
2108|Nebraskans for Amendment 2|06 2nd General Campaign Statement|10/30/2006|12/06/2006|750.00|REDUCED|0.00|03/21/2007||||
