Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|PAC Name
NE FARM BUREAU FEDERATION|99CUA00799|07/29/1999|SHELLYS |04/06/1999|04/05/1999|5690225|I|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|12/20/1999|KIMH    |12/13/1999|12/09/1999|5770090|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|01/18/2000|SERENAD |01/10/2000|01/06/2000|5780147|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|02/14/2000|KIMH    |02/08/2000|02/07/2000|5810151|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|03/14/2000|KIMH    |03/10/2000|03/09/2000|5850172|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|04/19/2000|KIMH    |04/10/2000|04/07/2000|5910236|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|05/15/2000|SERENAD |05/10/2000|05/09/2000|5940069|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|06/05/2000|SERENAD |06/02/2000|06/01/2000|5950019|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|07/17/2000|GARYA   |07/10/2000|07/07/2000|5960205|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|08/14/2000|KAREN   |08/10/2000|08/09/2000|5970061|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|09/11/2000|KAREN   |09/07/2000|09/05/2000|5970170|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|10/17/2000|KAREN   |10/10/2000|10/09/2000|5990039|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|11/20/2000|KAREN   |11/13/2000|11/09/2000|6010123|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|12/19/2000|KAREN   |12/14/2000|12/13/2000|6010238|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|02/05/2001|KAREN   |01/04/2001|01/03/2001|6020137|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|02/22/2001|KAREN   |02/07/2001|02/06/2001|6050068|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|03/23/2001|KAREN   |03/12/2001|03/09/2001|6090031|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|04/12/2001|KAREN   |04/05/2001|04/04/2001|6150202|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|05/07/2001|SERENAD |05/04/2001|05/03/2001|6170144|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|06/18/2001|PATTIEV |06/11/2001|06/07/2001|6190241|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|07/09/2001|TERII   |07/03/2001|07/02/2001|6200159|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|08/13/2001|TERII   |08/07/2001|08/06/2001|6210074|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|09/10/2001|TERII   |09/05/2001|09/04/2001|6210131|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|10/15/2001|TERII   |10/09/2001|10/08/2001|6220002|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|12/17/2001|TERII   |12/11/2001|12/10/2001|6220191|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|01/22/2002|TERII   |01/15/2002|01/15/2002|6240208|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|01/22/2002|TERII   |01/16/2002|01/15/2002|6240209|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|02/11/2002|TERII   |02/07/2002|02/06/2002|6270223|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|10/08/2002|TERII   |10/04/2002|10/03/2002|6440109|I|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|11/12/2002|SERENAD |11/07/2002|11/06/2002|6470089|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|12/09/2002|PATTIEV |12/03/2002|12/02/2002|6470205|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|01/13/2003|SERENAD |01/09/2003|01/08/2003|6480229|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|02/18/2003|SERENAD |02/11/2003|02/10/2003|6510087|I|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|03/17/2003|SERENAD |03/11/2003|03/10/2003|6540158|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|04/14/2003|SERENAD |04/10/2003|04/09/2003|6600217|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|05/12/2003|SERENAD |05/07/2003|05/06/2003|6610188|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|06/10/2003|SERENAD |06/06/2003|06/05/2003|6620152|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|07/07/2003|SERENAD |07/03/2003|07/02/2003|6630039|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|08/11/2003|SERENAD |08/07/2003|08/05/2003|6630169|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|09/15/2003|SERENAD |09/10/2003|09/09/2003|6630232|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|10/14/2003|PATTIEV |10/08/2003|10/07/2003|6640025|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|11/10/2003|SERENAD |11/06/2003|11/05/2003|6640078|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|12/22/2003|SERENAD |12/15/2003|12/11/2003|6640197|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|01/14/2004|CHERYLD |01/08/2004|01/06/2004|6650078|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|03/03/2004|PATTIEV |02/10/2004|02/09/2004|6680122|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|03/18/2004|SERENAD |03/09/2004|03/08/2004|6720002|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|04/26/2004|PATTIEV |04/06/2004|04/05/2004|6770217|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|05/17/2004|CHERYLD |05/11/2004|05/10/2004|6800108|C|          ||
NE FARM BUREAU FEDERATION|99CUA00799|06/07/2004|CHERYLD |06/03/2004|06/02/2004|6810055|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|07/12/2004|SERENAD |07/08/2004|07/07/2004|6820214|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|07/12/2004|SERENAD |07/09/2004|07/08/2004|6820213|C|          ||
NE FARM BUREAU FEDERATION|99CUA00799|08/10/2004|SERENAD |08/03/2004|08/02/2004|6830157|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|09/07/2004|CORIEJ  |09/03/2004|09/20/2004|6840061|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|10/13/2004|CORIEJ  |10/04/2004|10/01/2004|6850209|I|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|11/15/2004|SERENAD |11/10/2004|11/09/2004|6880055|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|12/13/2004|SERENAD |12/06/2004|12/03/2004|6880185|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|01/10/2005|CORIEJ  |01/06/2005|01/04/2005|6890168|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|02/24/2005|SERENAD |02/04/2005|02/03/2005|6920118|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
NE FARM BUREAU FEDERATION|99CUA00799|03/07/2005|CORIEJ  |03/02/2005|03/01/2005|6940015|C|99PAC00055||NE FARM BUREAU FEDERATION PAC
GTE MIDWEST|99CUA00800|04/12/1999|        |10/05/1998|10/02/1998|5460203|C|          ||
GTE MIDWEST|99CUA00800|04/12/1999|        |11/10/1998|11/10/1998|5520186|C|          ||
NATIONAL BANK OF COMMERCE|99CUA00801|04/25/2001|SERENAD |08/09/1999|08/06/1999|5750061|C|          ||
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |05/25/1984|05/25/1984|1670107|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |04/08/1988|04/08/1988|2600062|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |04/27/1988|04/27/1988|2620088|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |06/15/1988|06/15/1988|2650121|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |10/11/1988|10/11/1988|2690157|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |05/10/1994|05/11/1994|4260110|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |05/10/1995|10/17/1995|4540131|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |02/05/1996|02/13/1996|4620167|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |05/02/1996|05/22/1996|4750242|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |02/10/1997|02/10/1997|5110245|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |02/05/1998|02/04/1998|5210072|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |04/01/1998|03/31/1998|5310112|I|          ||
NE HEALTH CARE ASSOCIATION|99CUA00802|04/12/1999|        |01/27/1999|01/26/1999|5570209|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|02/14/2000|KIMH    |02/10/2000|02/09/2000|5810152|C|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|03/01/2001|KAREN   |02/21/2001|02/21/2001|6050178|C|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|05/21/2001|SERENAD |05/14/2001|05/11/2001|6180213|C|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|02/18/2003|SERENAD |02/11/2003|02/10/2003|6510088|I|99PAC00016||CARE PAC
NE HEALTH CARE ASSOCIATION|99CUA00802|03/03/2004|PATTIEV |02/11/2004|02/10/2004|6680118|C|99PAC00016||CARE PAC
FAY AIR INC.|99CUA00882|09/13/1999|SHELLYS |09/10/1999|09/09/1999|5750175|C|          ||
FOOD FOR HEALTH CO., INC.|99CUA00883|04/12/1999|        |09/24/1998|09/28/1998|5450120|C|          ||
GARDELS FARMS, INC.|99CUA00884|04/12/1999|        |11/03/1998|11/04/1998|5520018| |          ||
HOLT INCORPORATED|99CUA00885|04/12/1999|        |04/16/1992|04/16/1992|3690125|C|          ||
HOLT INCORPORATED|99CUA00885|04/12/1999|        |11/12/1998|11/10/1998|5520198|C|          ||
EXECUTIVE PLANNERS, INC.|99CUA00886|04/12/1999|        |08/28/1998|08/27/1998|5430122|C|          ||
TENASKA, INC.|99CUA00714|05/27/2003|SERENAD |05/22/2003|05/21/2003|6620030|C|          ||
TENASKA, INC.|99CUA00714|03/03/2004|PATTIEV |02/09/2004|02/09/2004|6680135|C|          ||
WESTERING DISTRIBUTING COMPANY, INC.|99CUA00715|04/12/1999|        |05/05/1998|05/04/1998|5360160|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/12/1999|        |09/17/1997|09/16/1997|5120210|L|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/12/1999|        |04/16/1998|04/15/1998|5330182|L|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/12/1999|        |07/16/1998|07/15/1998|5420021|L|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|02/23/2000|KIMH    |02/17/2000|02/16/2000|5820075|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|10/23/2000|KAREN   |10/20/2000|10/17/2000|5990091|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|10/23/2000|KAREN   |10/20/2000|10/17/2000|5990092|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|02/21/2001|KAREN   |02/14/2001|02/13/2001|6050140|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/02/2001|PATTIEV |03/20/2001|03/19/2001|6110004|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/25/2001|SERENAD |04/19/2001|04/18/2001|6160195|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/25/2001|SERENAD |04/19/2001|04/18/2001|6160196|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/25/2001|SERENAD |04/19/2001|04/18/2001|6160197|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|02/25/2002|TERII   |02/22/2002|02/21/2002|6290102|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|02/24/2003|SERENAD |02/19/2003|02/18/2003|6510158|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|04/07/2003|SERENAD |04/01/2003|03/31/2003|6600141|C|          ||
UNITED STEELWORKERS OF AMERICA LOCAL 286|99CUA00717|07/02/2004|DAVIDH  |04/15/2004|04/14/2004|6780160|C|          ||
HARDY CONSTRUCTION COMPANY|99CUA00720|04/12/1999|        |04/30/1998|04/29/1998|5340180|C|          ||
BETTER BUSINESS EQUIPMENT CO.|99CUA00723|04/12/1999|        |04/28/1997|04/24/1997|5070199|C|          ||
BETTER BUSINESS EQUIPMENT CO.|99CUA00723|04/12/1999|        |06/23/1997|06/20/1997|5110064|C|          ||
NE TRANSPORT CO., INC.|99CUA00724|04/12/1999|        |11/02/1992|11/02/1992|3810055|C|          ||
NE TRANSPORT CO., INC.|99CUA00724|04/12/1999|        |04/11/1994|04/13/1994|4230039|C|          ||
NE TRANSPORT CO., INC.|99CUA00724|04/12/1999|        |07/29/1998|07/28/1998|5420141|C|          ||
NE TRANSPORT CO., INC.|99CUA00724|04/12/1999|        |08/26/1998|08/25/1998|5430145|C|          ||
NE CORN GROWERS ASSOCIATION|99CUA00725|04/12/1999|        |04/20/1998|04/17/1998|5340021|C|          ||
EAST CONSTRUCTION, INC.|99CUA00726|04/12/1999|        |06/15/1998|06/12/1998|5390242|C|          ||
EAST CONSTRUCTION, INC.|99CUA00726|03/22/2001|KAREN   |03/05/2001|03/02/2001|6070161|C|          ||
EAST CONSTRUCTION, INC.|99CUA00726|04/25/2001|SERENAD |04/20/2001|04/19/2001|6160165|C|          ||
KRUSE CABINET SHOP, INC.|99CUA00727|04/12/1999|        |06/12/1998|06/11/1998|5390064|C|          ||
KEELER, RAYNOR & ASSOCIATES, P.C.|99CUA00728|04/12/1999|        |07/24/1987|07/24/1987|2440212|C|          ||
KEELER, RAYNOR & ASSOCIATES, P.C.|99CUA00728|04/12/1999|        |10/09/1998|10/08/1998|5460218|C|          ||
MILLWRIGHT LOCAL UNION #1463|99CUA00729|04/12/1999|        |08/12/1997|08/11/1997|5120037|L|          ||
MILLWRIGHT LOCAL UNION #1463|99CUA00729|04/12/1999|        |11/03/1998|11/02/1998|5520049|L|          ||
MILLWRIGHT LOCAL UNION #1463|99CUA00729|04/12/1999|        |02/24/1999|02/23/1999|5600191|L|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |08/20/1993|08/23/1993|4000154|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |03/17/1994|03/18/1994|4150164|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |04/15/1994|04/18/1994|4230026|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |09/23/1994|09/26/1994|4320024|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |11/03/1994|11/04/1994|4360069|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |11/14/1995|11/20/1995|4580023|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |03/22/1996|03/26/1996|4660133|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |04/10/1996|04/19/1996|4730215|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |10/28/1996|10/25/1996|4860190|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |02/14/1997|02/11/1997|4940032|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |05/19/1997|05/16/1997|5090175|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/12/1999|        |04/30/1998|04/29/1998|5340164|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/19/1999|SHELLYS |04/16/1999|04/15/1999|5700092|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|05/17/1999|SHELLYS |05/11/1999|05/10/1999|5720140|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|11/29/2000|KAREN   |11/20/2000|11/18/2000|6010146|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|03/01/2001|KAREN   |02/23/2001|02/22/2001|6050169|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|03/21/2001|KAREN   |02/26/2001|02/23/2001|6060060|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|03/22/2001|KAREN   |03/06/2001|03/02/2001|6070155|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|05/29/2001|SERENAD |05/25/2001|05/23/2001|6180249|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|05/29/2001|SERENAD |05/25/2001|05/23/2001|6180250|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|05/29/2001|SERENAD |05/25/2001|05/23/2001|6190001|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|08/27/2001|TERII   |08/23/2001|08/22/2001|6210099|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|01/28/2002|TERII   |01/25/2002|01/23/2002|6250146|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/22/2002|TERII   |04/19/2002|04/17/2002|6380209|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|08/19/2002|TERII   |08/16/2002|08/15/2002|6430107|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|09/13/2002|TERII   |09/12/2002|09/11/2002|6430224|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|09/15/2003|SERENAD |09/08/2003|09/05/2003|6630230|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|12/22/2003|SERENAD |12/09/2003|12/08/2003|6640171|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|01/22/2004|CHERYLD |01/21/2004|01/20/2004|6650196|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|04/21/2004|CHERYLD |04/13/2004|04/12/2004|6780145|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|05/17/2004|CHERYLD |05/11/2004|05/10/2004|6800098|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|10/13/2004|CORIEJ  |10/08/2004|10/07/2004|6850183|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|12/27/2004|PATTIEV |12/20/2004|12/17/2004|6890001|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|12/27/2004|PATTIEV |12/20/2004|12/17/2004|6890002|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|12/27/2004|PATTIEV |12/20/2004|12/17/2004|6890003|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|12/27/2004|PATTIEV |12/20/2004|12/17/2004|6890004|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|01/10/2005|CORIEJ  |01/04/2005|12/30/2004|6890154|C|          ||
CELEBRITY HOMES, INC.|99CUA00733|02/24/2005|SERENAD |02/03/2005|02/02/2005|6920093|C|          ||
FRAZIER COMPANY, INC. THE|99CUA00734|10/21/2002|SERENAD |10/17/2002|10/16/2002|6450089|C|          ||
LIMITED SERVICE CORPORATION, THE|99CUA00735|04/12/1999|        |05/11/1998|05/08/1998|5370138|C|          ||
LIMITED SERVICE CORPORATION, THE|99CUA00735|01/18/2000|SERENAD |01/14/2000|01/10/2000|5780142|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |04/12/1990|04/12/1990|3120033|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |04/30/1990|04/30/1990|3150077|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |08/03/1990|08/03/1990|0000000|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |08/24/1990|08/24/1990|3230011|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |08/31/1990|08/31/1990|3230067|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |11/02/1990|11/02/1990|3290039|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |10/23/1992|10/23/1992|3790097|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |09/02/1993|09/03/1993|4000206|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |09/13/1994|09/16/1994|4310229|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |11/08/1994|11/09/1994|4360247|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |06/06/1996|06/06/1996|4780228|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |08/15/1996|08/12/1996|4820112|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |09/27/1996|09/24/1996|4830096|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |01/30/1997|01/28/1997|4930012|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |02/12/1997|02/10/1997|4940035|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |04/23/1998|04/20/1998|5340003|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |08/06/1998|08/10/1998|5430009|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |09/08/1998|09/03/1998|5440054|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |01/25/1999|01/21/1999|5570196|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |02/16/1999|02/12/1999|5590112|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|04/12/1999|        |02/25/1999|02/23/1999|5600180|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|05/03/1999|SERENAD |03/31/1999|03/30/1999|5690034|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|07/06/1999|SHELLYS |04/26/1999|04/22/1999|5710102|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|05/10/1999|SHELLYS |05/03/1999|04/30/1999|5720002|C|          ||
COMMUNICATIONS WORKERS OF AMERICA (DISTRICT #7)|99CUA00737|10/25/1999|SERENAD |10/12/1999|10/07/1999|5760051|C|          ||
COX COMMUNICATIONS, INC.|99CUA00739|04/12/1999|        |04/08/1992|04/08/1992|3680095|C|          ||
COX COMMUNICATIONS, INC.|99CUA00739|04/12/1999|        |05/01/1998|04/30/1998|5340166|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|10/17/2000|KAREN   |10/10/2000|10/05/2000|5990023|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|05/07/2001|SERENAD |04/30/2001|04/24/2001|6170126|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|07/16/2001|TERII   |07/09/2001|07/06/2001|6200202|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|10/05/2001|TERII   |10/01/2001|09/25/2001|6210213|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|12/31/2001|TERII   |12/26/2001|12/19/2001|6220236|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|02/25/2002|TERII   |02/20/2002|02/13/2002|6290088|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|04/08/2002|TERII   |04/05/2002|04/01/2002|6370015|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|07/12/2002|TERII   |07/12/2002|07/09/2002|6420202|C|          ||
BURLINGTON NORTHERN SANTA FE COMPANY|99CUA00805|11/12/2002|SERENAD |11/08/2002|11/05/2002|6470066|C|          ||
