Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
JAMES BLINN FOR MAYOR|99CAC00629|01/21/2003|07/25/2002|JAMES BLINN                   |                                                  |SIGNS, PRINTING, POSTAGE                          |1985.58||||3230
JAMES BLINN FOR MAYOR|99CAC00629|02/02/2004|07/25/2002|JAMES BLINN                   |                                                  |PRINTING                                          |1985.58||||3231
JAMES BLINN FOR MAYOR|99CAC00629|02/01/2005|07/25/2003|JAMES BLINN                   |117 N JEFFERSON STREET, PAPPILLION NE             |SIGNS PRINRTING POSTAGE                           |1985.58||||3232
NANCY WAITE FOR CITY COUNCIL|99CAC00632|01/16/2003|11/30/2002|KODY                          |                                                  |COMMERCIALS                                       |200||||3235
NANCY WAITE FOR CITY COUNCIL|99CAC00632|01/16/2003|01/01/2003|THE COPY HOUSE                |                                                  |FLYERS, SIGNS                                     |600||||3235
NANCY WAITE FOR CITY COUNCIL|99CAC00632|01/16/2003|10/28/2002|GOLDENROD PRINTING            |                                                  |YARD SIGNS                                        |492.2||||3235
STRAND FOR CITY COUNCIL|99CAC00635|04/28/2003|04/21/2003|JIM STRAND                    |233 S. 13TH SUITE 800                             |MISCELLANEOUS, NONE OVER $250                     |552.19||||3244
NEWMAN FOR COUNCIL|99CAC00639|03/10/2003|02/12/2003|NE DEMOCRATIC PARTY           |                                                  |MAILINGS, POLLING, GOTV                           |200||||3252
BECK FOR CITY COUNCIL|99CAC00641|03/10/2003|02/03/2003|SANINE BECK                   |524 SAILSIDE DR LINCOLN NE 68528                  |REIMBURSE EXP. PD TO LAMAR'S OUTDOOR ADVERTISING  |480||||3335
BECK FOR CITY COUNCIL|99CAC00641|03/10/2003|02/27/2003|ON YOU MARKS PRINTING         |7337 S 32 ST LINCOLN NE 68516                     |PRINTING                                          |1753.71||||3335
CITIZENS FOR BEUTLER |05CAC00724|01/30/2008|05/02/2007|LAKE RESEARCH PARTNERS|1726 M ST. NW STE. 500, WASHINGTON 20036|CONTRACT PAYMENT|0||11/19/2007|5000|5603
CITIZENS FOR BEUTLER |05CAC00724|01/30/2008|05/02/2007|MACWILLIAMS, KIRCHNER, SANDERS|1660 L ST. NW, STE. 301, WASHINGTON, 20036|CONTRACT PAYMENT|0||11/19/2007|5130|5603
BECK FOR CITY COUNCIL|99CAC00641|03/31/2003|03/03/2003|THE PHILIP M. YOUNG COMPANY   |233 S 13 ST STE 800 LINCOLN NE 68508              |CONSULTING SERVICES                               |2036.37||||3336
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/31/2008|12/31/2006|OSBORN, SHANE||MILEAGE, BABYSITTING |0|1|12/11/2007|1344.58|5738
WHITE FOR LEGISLATURE|05CAC00739|01/31/2008|12/04/2007|CENTRAL AIR INC||AIRFARE TO KEARNEY FOR SPEAKING ENGAGEMENT|696.26|0||0|6508
BECK FOR CITY COUNCIL|99CAC00641|04/28/2003|04/01/2003|THE PHILIP M YOUNG CO         |233 S 13 STE 800 LINCOLN NE                       |CONSULTING                                        |1022.79||||3337
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|10/11/2006|09/25/2006|VICTORY ENTERPRISES|5200 SW 30TH ST STE 7 DAVENPORT IA|SURVEY|3050|1|12/29/2006||4303
FRIENDS FOR PAM TUSA|06CAC00890|10/11/2006|04/07/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN|PRINTING|1193|0|||4870
COMMITTEE TO ELECT STU DORNAN|99CAC00646|10/11/2006|10/02/2006|DIAMOND MARKETING SOLUTIONS|5740 S 77TH ST OMAHA 68127|POSTAGE FOR POSTCARD MAILING|3426.99|1|10/04/2006||4297
PROKOP COMMITTEE|06CAC00929|10/27/2006|10/10/2006|GERALD BRAKE ADVERTISING|1709 ELK ST BEATRICE NE 68310|STEEL WIRE FOR YARD SIGNS|713.28|0|||5454
BRUNING FOR ATTORNEY GENERAL|99CAC00562|10/27/2006|10/23/2006|DRESNER, WICKERS ASSOCIATES LL|655 THIRD ST SAN FRANCISCO CA 94107|MEDIA BUY, PRODUCTION|7186.69|0|||5458
BRUNING FOR ATTORNEY GENERAL|99CAC00562|10/27/2006|10/23/2006|CHASE VISA|PO BOX 94014 PALATINE IL |3RD PARTY PAYEES|1623.93|0|||5458
BRUNING FOR ATTORNEY GENERAL|99CAC00562|10/27/2006|10/11/2006|NORTHWEST AIRLINES|7500 AIRLINE DR MINNEAPOLIS MN 55450|THIRD PARTY PAID  AIRFARE|300.2|0|||5458
MARK CHRISTENSEN FOR LEGISLATURE|05CAC00762|10/27/2006|10/10/2006|LOCAL PAPERS WITHIN THE DISTRI||NEWSPAPER EVENT AD|300|0|||5460
MARK CHRISTENSEN FOR LEGISLATURE|05CAC00762|10/27/2006|10/13/2006|NE PRINTWORKS|PO BOX 606 OGALLALA NE 69153|MAIL ADVERTISING|6000|1|11/27/2006||5460
SORRENTINO FOR LEGISLATURE|05CAC00758|10/27/2006|11/01/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN 68504|DIRECT MAIL PRINTING|1308.2|1|11/01/2006||5464
GAMBLING WITH THE GOOD LIFE (DISSOLVED 1998)|99BQC00013|10/27/2006|10/13/2006|BLACKWELL, SANERS PEPER MARTIN||LEGAL SERVICES|7030.42|0|||4711
ANNETTE DUBAS FOR LEGISLATURE|05CAC00735|10/30/2006|10/14/2006|AURORA NEWS - REGISTER||YARD SIGNS|718.5|0|||5151
ANNETTE DUBAS FOR LEGISLATURE|05CAC00735|10/30/2006|10/20/2006|AUTOMATIC PRINTERS||PRINTING BROCHURES|3492.48|0|||5151
CURT FRIESEN FOR LEGISLATURE|06CAC00796|10/30/2006|10/23/2006|SEWARD COUNTY INDEPENDENT||ADVERTISING|566.65|1|11/14/2006||5471
CURT FRIESEN FOR LEGISLATURE|06CAC00796|10/30/2006|10/22/2006|YORK NEWS TIMES||ADVERTISING|1349.45|1|10/24/2006||5471
LANDIS FOR PSC|99CAC00277|10/30/2006|10/21/2006|MIDWEST MESSENGER||ADVERTISING|300|0|||5592
HANSEN FOR LEGISLATURE|05CAC00763|10/30/2006|10/16/2006|PRO PRINTING & GRAPHIC||PRINTING FLYERS|976.6|1|10/27/2006||6065
DAVID HAHN FOR GOVERNOR|05CAC00761|10/30/2006|10/15/2006|ALCHEMY ASSOCIATES||AD & D REPORT PREP|455|1|11/06/2006||5305
DAVID HAHN FOR GOVERNOR|05CAC00761|10/30/2006|10/21/2006|MOLECULAR SOLUTIONS||BUSINESS CARDS|525|1|11/01/2006||5305
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|SPATIAL ANALYSIS||VOTER ANALYSIS|5000|0|||6069
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|MYERS, STEVE||EXPENSE REIMBURSEMENT|843.34|0|||6069
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|COX COMMUNICATIONS||TELEPHONES|584.78|0|||6069
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|CARDINAL COMMUNICATIONS||TELEMARKETING|7679|0|||6069
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/30/2006|10/23/2006|SANDLER-INNOCENZI||TELEVISION PRODUCTION COSTS|5498|0|||6069
MARSHA BABCOCK FOR COUNTY COMMISSIONER|06CAC00986|10/30/2006|09/22/2006|UNIONIST PRINTING||PAMPHLETS|217.13|1|12/18/2006||6071
NEBRASKANS FOR VIDEO KENO|06BQC00122|10/30/2006|10/09/2006|CARPENTER PAPER CO||PAPER NAPKINS|8542.88|0|||6192
PAPILLION-LAVISTA SCHOOL BOND COMMITTEE|99BQC00024|10/30/2006|10/16/2006|CLEAR CHANNEL RADIO||RADIO ADS|3009|0|||6193
BROWN FOR LEGISLATURE|06CAC00765|10/31/2006|10/19/2006|LATSCH'S OFFICE PRODUCTS||ENVELOPES, PAPER|148.84|0|||4820
SWANSON FOR LEGISLATURE|06CAC00812|11/01/2006|10/20/2006|PRINTING PLUS|461 NORTH 66TH STREET|3 INVOICES FOR POSTCARDS|1039.91|0|||4321
SWANSON FOR LEGISLATURE|06CAC00812|11/01/2006|10/20/2006|POSTMASTER GENERAL|LINCOLN,NE|POSTAGE FOR TWO MAILINGS|839.85|0|||4321
SWANSON FOR LEGISLATURE|06CAC00812|11/01/2006|10/20/2006|RIGHT EYE DIGITAL|310 W BLUE SAGE BLVD LINCOLN,NE|VIDEO & AUDIO PRODUCTION & EDITING|0||10/24/2007|840|4321
MCCLURG FOR REGENT|05CAC00736|10/31/2006|10/23/2006|A TO Z PRINTING||POSTCARDS, PRINTING ARTWORK|2781|1|10/27/2006||4330
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|10/11/2006|09/30/2006|PRO PRINTING AND GRAPHICS|PO BOX 608 NORTH PLATTE, NE|YARD SIGNS|1127.91|1|11/03/2006||4303
BROWN FOR LEGISLATURE|06CAC00765|06/20/2006|05/12/2006|CAROL BROWN|2201 ELBA LINCOLN,NE 68521|CREDIT CARD PAYMENT  TO GOLDENROD PRINTING|4106.13|1|07/04/2006||4577
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|10/10/2006|09/17/2006|DEAN DENNHARDT||BONUS|61800|0||36800|4740
SHELTON FOR GAGE COUNTY ATTORNEY|06CAC00941|10/10/2006|10/02/2006|NE DEPT. OF REVENUE||SALES & USE TAX|185|1|10/05/2006||5303
NELSON FOR LEGISLATURE|06CAC00853|10/31/2006|10/23/2006|VICTORY ENTERPRISES||DIRECT MAIL|6000|0|||4338
PETE PIRSCH FOR LEGISLATURE|05CAC00740|10/31/2006|10/19/2006|WEST BUSINESS SERVICES||CALLING CAMPAIGN|5400|0|||4342
KENT ROGERT FOR LEGISLATURE|05CAC00760|10/31/2006|10/18/2006|AUTOMATIC PRINTING||MAILER PRINTING|279.81|0|||4456
KENT ROGERT FOR LEGISLATURE|05CAC00760|10/31/2006|10/18/2006|AUTOMATIC PRINTING||INVITATION PRINTING|699.78|0|||4456
ED BABBITT FOR MAYOR|06CAC00935|10/30/2006|10/23/2006|PAUL HARTNETT||POSTAGE|1368.91|1|12/31/2006||5466
NEBRASKANS FOR VIDEO KENO|06BQC00122|10/30/2006|10/04/2006|KUTAK ROCK, LLP|PO BOX 30057, OMAHA, NE 68103|PROF. LEGAL SERVICES RELATED TO INITIATIVE LAWSUIT|27974.18|0|||6192
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/16/2007|11/08/2006|KOLTERMAN, JESSICA||CONSULTING|3000|0|||4995
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/16/2007|11/08/2006|HAYES, JASON||CONSULTING, POSTAGE|1000.75|0|||4995
SHANE OSBORN FOR STATE TREASURER|05CAC00738|01/16/2007|12/31/2006|OSBORN, SHANE||MILEAGE, BABYSITTING |1344.58|0|||4995
COMMITTEE FOR STATE STEWARDSHIP|06BQC00139|01/16/2007|11/21/2006|MCFARLIN, MIKE||ACCOUNTING SERVICES|350|0|||4967
CRYSTAL RHOADES FOR METRO COLLEGE BOARD|06CAC00864|01/16/2007|11/15/2006|GOLDENROD PRINTING||MAILER AND PRINTED MATERIALS|961|0|||4998
SORRENTINO FOR LEGISLATURE|05CAC00758|01/16/2007|12/13/2006|THE PHILIP M YOUNG COMPANY||CONSULTING|1100.73|1|||5108
STOTHERT FOR LEGISLATURE|06CAC00766|01/16/2007|12/18/2006|JASA INVESTIGATIVE SERVICES||INVESTIGATE SERVICES|5212.4|0|||5109
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/16/2007|12/20/2006|ALL NEEDS COMPUTER AND MAILING|5609 S 49TH ST STE 2A LINCOLN 68516|MAILING SERVICES|2975.14|0|||4997
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/16/2007|12/21/2006|METROPOLITAN UTILITIES DISTRIC|1723 HARNEY ST OMAHA 68102|UTILITIES|510.92|0|||4997
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/16/2007|12/15/2006|WINDSTREAM|PO BOX 81309 LINCOLN NE 68501|TELEPHONE|986.36|0|||4997
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|01/16/2007|11/10/2006|ARISTOTLE INTERNATIONAL IN |205 PENNSYLVANIA AVE SE WASHINGTON DC  20003|SOFTWARE LICENSE|4800|0|||4997
NAGENGAST FOR REGENT|05CAC00732|01/17/2007|11/06/2006|VICTORY ENTERPRISES||PRINTING AND POSTAGE|13163.16|0|||5257
BROWN FOR LEGISLATURE|06CAC00765|01/18/2007|10/27/2006|CAROL BROWN|2201 ELBA CIR, LINCOLN NE 68502|PRINTER |286.6|0|||5135
PEOPLE FOR PREISTER|99CAC00178|01/29/2007|12/31/2006|PREISTER, DON||MILEAGE|605|0|||5181
CITIZENS FOR BEUTLER |05CAC00724|01/30/2007|12/12/2006|A TO Z PRINTING|8230 CODY DR., LINCOLN NE 68512|PRINTING AND REPRODUCTION|583.43|1|01/20/2007||5294
CITIZENS FOR BEUTLER |05CAC00724|01/30/2007|12/13/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN NE 68504|PRINTING AND REPRODUCTION, MAILING SERVICES|285.82|1|01/15/2007||5294
CITIZENS FOR BEUTLER |05CAC00724|01/30/2007|12/19/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN NE 68504|PRINTING AND REPRODUCTION, MAILING SERVICES|2452.06|1|01/15/2007||5294
FRIENDS OF RICH PAHLS|99CAC00666|01/30/2007|12/29/2006|JOHN SIELER & ASSOCIATES|7801 WOOLWORTH, OMAHA NE 68124|CAMPAIGN MATERIALS(SIGNS, BUMPER STICKERS, )|5000|0|||5262
HOWARD FOR LEGISLATURE|99CAC00662|02/01/2007|12/19/2006|GOLDENROD PRINTING||NEWSLETTER PRINTING & SORT|2505.31|0|||6350
CITIZENS FOR BEUTLER |05CAC00724|01/30/2007|11/02/2006|LINCOLN JOURNAL STAR||REPRODUCTION OF NEWSPAPER ARTICLES|325|0|||5294
JOHN SPATZ FOR CITY COUNCIL |06CAC01009|03/05/2007|02/23/2007|AYARS & AYARS||MARKETING/PRINTED MATERIALS|2114.55|1|02/28/2007||4975
JOHN SPATZ FOR CITY COUNCIL |06CAC01009|03/05/2007|02/23/2007|NE PRINTING COMPANY||PRINTED MATERIALS|478.16|1|02/28/2007||4975
JOHN SPATZ FOR CITY COUNCIL |06CAC01009|03/05/2007|02/23/2007|THE ADWOOD COMPANY, INC.||PRINTED MATERIALS|153.18|1|02/28/2007||4975
SORRENTINO FOR LEGISLATURE|05CAC00758|03/26/2007|12/13/2006|THE PHILIP M YOUNG COMPANY||CONSULTING|0|1|02/16/2007|1100.73|5069
SORRENTINO FOR LEGISLATURE|05CAC00758|03/26/2007|11/01/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN 68504|DIRECT MAIL PRINTING|0|1|11/01/2006|1308.2|5069
CAROL CASEY FOR LEGISLATURE |06CAC00783|04/11/2007|04/11/2006|CASEY, CAROL||POSTAGE|0|1|09/11/2006|1000|6488
CAROL CASEY FOR LEGISLATURE |06CAC00783|04/11/2007|02/09/2006|JODON'S|2332 CORNHUSKER ROAD OMAHA,NE 68123|BUS BENCH ADVERTISEMENT|0|1|08/10/2006|1074.02|6488
CAROL CASEY FOR LEGISLATURE |06CAC00783|04/11/2007|02/09/2006|JODONS|OMAHA, NE|BUS BENCH ADVERTISEMENT|0|1|06/12/2006|3222.02|6488
CAROL CASEY FOR LEGISLATURE |06CAC00783|04/11/2007|04/01/2006|ALCHEMY ASSOCIATES, LLC|LINCOLN, NE|CAMPAIGN BROCHURES|0|1|05/24/2006|1744.86|6488
COMMUNITY FOR KIDS COMMITTEE|05BQC00118|01/31/2007|02/15/2006|ASAP PRINT SERVICES|5021 BUNKER HILL ROAD LINCOLN NE 68521|PRINTING|0|1|08/02/2006|7000|5773
MCCLURG FOR REGENT|05CAC00736|10/10/2006|05/12/2006|LAMAR COMPANIES||BILLBOARDS AND PRODUCTION|0|1|09/18/2006|6960|6031
MCCLURG FOR REGENT|05CAC00736|10/10/2006|05/12/2006|ON YOUR MARKS||YARD SIGNS|0|1|08/27/2006|2131.07|6031
MCCLURG FOR REGENT|05CAC00736|10/10/2006|05/03/2006|TRI STATE OUTDOOR ADVERTISING||BILLBOARDS|0|1|10/01/2006|1970|6031
MCCLURG FOR REGENT|05CAC00736|01/12/2007|10/23/2006|A TO Z PRINTING||POSTCARDS, PRINTING ARTWORK|0|1|10/27/2006|2781|4830
CITIZENS FOR BEUTLER |05CAC00724|03/05/2007|11/02/2006|LINCOLN JOURNAL STAR||REPRODUCTION OF NEWSPAPER ARTICLES|325|1|01/15/2007|650|5428
CITIZENS FOR BEUTLER |05CAC00724|03/26/2007|12/19/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN NE 68504|PRINTING AND REPRODUCTION, MAILING SERVICES|0||01/15/2007|2737.88|6483
CITIZENS FOR BEUTLER |05CAC00724|03/05/2007|12/12/2006|A TO Z PRINTING|8230 CODY DR., LINCOLN NE 68512|PRINTING AND REPRODUCTION|0|1|01/15/2007|583.43|5428
CITIZENS FOR BEUTLER |05CAC00724|04/23/2007|12/20/2006|HUDSON BAY CO|941 O ST., STE 625, LINCOLN NE  68508|PHONE BANKING|0|1|03/15/2007|3654|5473
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|03/04/2003|FROSTY'S SPECIALTY ADVERT.    |                                                  |SIGNS                                             |0|1|03/10/2003|6271.64|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|04/19/1999|GOLDENROD PRINTING            |                                                  |PRINTING                                          |0|1|05/11/1999|9622.22|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|03/20/1999|ON THE SPOT CREATIVE          |                                                  |RADIO PRODUCTION                                  |0|1|04/12/1999|140|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|04/20/1999|FROSTY'S SPECIALTY ADVERTISING|                                                  |YARD SIGNS                                        |0|1|04/30/1999|3843.62|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|03/16/1999|KINKO'S                       |                                                  |PHOTOCOPIES                                       |0|1|03/17/1999|7|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|03/16/1999|STEPHEN & SMITH CONSTRUCTION  |                                                  |REBAR                                             |0|1|03/17/1999|40|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|03/16/1999|STEPHENS & SMITH CONSTRUCTION |                                                  |REBAR                                             |0|1|03/17/1999|40|5073
JON CAMP FOR CITY COUNCIL COMMITTEE|99CAC00011|04/24/2007|03/02/1999|VILLAGER COURTYARD            |5200 O STREET                                     |CAMPAIGN RECEPTION                                |0|1|03/04/1999|106.36|5073
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/25/2007|03/01/2006|EAGLE PRINTING|LINCOLN, NE|HANDOUTS|0|1|05/03/2006|372.45|4618
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/25/2007|06/01/2006|GUITTAR, STEPHEN||MISC. EXPENSES|0||04/12/2007|788.04|4618
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/25/2007|10/19/2006|STEPHEN GUITTAR|2649 NORTH 48TH STREET|POSTAGE|0|1|04/12/2007|117|4618
ABBOTT FOR COUNCIL|07CAC01019|03/02/2007|02/27/2007|GOLDENROD PRINTING||PRINTING, POSTAGE, DESIGN|1850.42|0||0|4974
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|04/12/2006|02/28/2006|VICTORY ENTERPRISES||SURVEY|2000||03/01/2006|0|4158
KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR)|05CAC00745|04/12/2006|03/23/2006|VICTORYSTORE.COM||MAILER PRINTING|2103.1|1|||4158
AVERY FOR LEGISLATURE|05CAC00726|04/10/2006|03/15/2006|ALCHEMY ASSOCIATES|P.O. BOX 83481 LINCOLN,NE 68501|PRINTING EXPENSES|1440.18|1|04/20/2006||4189
COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE|06BQC00123|04/27/2006|04/24/2006|CLINE WILLIAMS|1900 US BANK BLDG 68508|LEGAL SERVICES|4016.78|0|||4034
COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE|06BQC00123|04/27/2006|04/06/2006|KELLEY AND LEHAN, PC|7134 PACIFIC STREET OMAHA 68106|PROFESSIONAL SERVICES|7500|0|||4034
COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE|06BQC00123|04/27/2006|04/06/2006|COTE AND D'AMBROSIO |30 BROWN STREET WICKFORD RI 02852|RETAINER FOR PR SERVICES|5000|1|||4034
COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE|06BQC00123|04/27/2006|03/31/2006|BAYLOR EVNEN ER AL|1248 O ST SUITE 600 LINCOLN 68508|LEGAL SERVICES|8740.48|0|||4034
COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE|06BQC00123|04/27/2006|04/24/2006|VALIDATION SERVICES, INC|1941 SOUTH 42ND ST SUITE 109 OMAHA 68105|FEES FOR VALID SIGNATURES|33001.5|1|||4034
BOND FOR LEGISLATURE|06CAC00801|05/01/2006|04/10/2006|VICTORY ENTERPRISES||CREATION & PRODUCTION OF RADIO AD|350|1|05/18/2006||4038
BOND FOR LEGISLATURE|06CAC00801|04/07/2006|03/04/2006|VICTORYSTORE.COM||SIGNS, STICKERS, SHIPPING & HANDLING|3806.1|1|05/18/2006||4168
JERRY BROWN FOR SHERIFF COMMITTEE|06CAC00800|05/01/2006|04/22/2006|BROWN, JERRY||CELL PHONE|57.39|1|05/01/2006||4039
TOM CARLSON FOR LEGISLATURE|05CAC00733|05/01/2006|04/25/2006|CARLSON, TOM|HOLDREGE, NE|MILEAGE & CAMPAIGN EXPENSES|750|1|10/03/2006||4041
COMMITTEE TO ELECT BARBARA A. CARPENTER CLERK DC|06CAC00849|05/01/2006|04/19/2006|OMAHA WORLD HERALD||NEWSPAPER AD|3771.18|1|06/08/2006||4042
FRIENDS FOR COMBS|99CAC00602|05/01/2006|04/24/2006|COMBS, JEANNE|MILLIGAN, NE|REPLACE COMPUTER & SUPPORT|2480.24|1|06/13/2006||4043
FRIENDS FOR COMBS|99CAC00602|05/01/2006|04/23/2006|COMBS, JEANNE|MILLIGAN, NE|MILEAGE|200|1|06/13/2006||4043
COMMITTEE TO ELECT STU DORNAN|99CAC00646|05/01/2006|04/18/2006|COX COMMUNICATIONS|OMAHA, NE|PHONE SERVICE & INTERNET|262.04|0||0|4045
JOHN N. HARMS FOR LEGISLATURE|06CAC00767|05/01/2006|04/21/2006|WESTERN PLAINS BUSINESS SOLUT.||STATIONARY, ENVELOPES, RESPONSE CARDS|3386|1|10/03/2006||4050
RONALD A. RUFF FOR LEGISLATURE|05CAC00748|05/01/2006|04/24/2006|PRO PRINTING & GRAPHICS||ADVERTISING & PUBLICATION MATERIALS|590.32|0|||4071
TOM OSBORNE FOR GOVERNOR |05CAC00727|05/01/2006|04/24/2006|WITEK, KATE|OMAHA, NE||443.4|0|||4077
AVERY FOR LEGISLATURE|05CAC00726|05/01/2006|04/15/2006|ALCHEMY ASSOCIATES|LINCOLN, NE|MGMT, POSTAGE, SUPPLIES, PHOTO DEVELOPING|5000.68|1|06/12/2006||4079
COMMITTEE TO ELECT TOM BARRETT|06CAC00802|05/01/2006|04/12/2006|FRANK BARRETT||LARGE SIGNS|2555|0|||4081
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|05/01/2006|04/10/2006|GUITTAR, STEPHEN|LINCOLN, NE|VOTER LIST, PARADE REGISTRATION|110|0|||4084
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|05/01/2006|04/12/2006|GUITTAR, STEPHEN|LINCOLN, NE|POSTAGE|39|0|||4084
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/10/2006|03/15/2006|GUITTAR, STEPHEN|LINCOLN, NE|PROPERTY LEASE|1850|0|||4223
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/10/2006|03/01/2006|EAGLE PRINTING|LINCOLN, NE|HANDOUTS|372.45|1|04/06/2006||4223
COMMITTEE TO ELECT STEVE GUITTAR|06CAC00803|04/10/2006|02/08/2006|GUITTAR, STEPHEN|LINCOLN, NE|MISC. EXPENSES|727.79|0|||4223
DAVID HAHN FOR GOVERNOR|05CAC00761|05/01/2006|04/05/2006|ALLTEL||TELEPHONE SERVICES|688.59|1|06/05/2006||4085
DAVID HAHN FOR GOVERNOR|05CAC00761|05/01/2006|04/20/2006|GOLDENROD PRINTING||PRINTING & MAILING SERVICE|3070.03|1|06/09/2006||4085
JARECKE FOR LEGISLATURE|06CAC00798|05/01/2006|04/19/2006|JARECKE, DENNIS|FULLERTON, NE|YARD SIGNS|1016.67|1|06/30/2006||4087
YES FOR AMENDMENT ONE (DISSOLVED IN 2006)|05BQC00116|05/01/2006|04/24/2006|AMERICAN COMMUNICATIONS GROUP||CONSULTING SERVICES|3000|1|10/02/2006||3796
POORE FOR LEGISLATURE|05CAC00737|05/01/2006|04/09/2006|GOLDENROD PRINTING||BROCHURE, MAILING POSTAGE|741.01|0|||3799
NEBRASKANS FOR NABITY|99CAC00651|05/01/2006|04/19/2006|BUZZ MEDIA|19511 CEDAR CIRCLE OMAHA 68130|ADVERTISING|989.06|1|05/08/2006||4094
POORE FOR LEGISLATURE|05CAC00737|05/01/2006|04/13/2006|GOLDENROD PRINTING||POSTCARD MAILING AND POSTAGE|1904.16|0|||3799
NEBRASKANS FOR NABITY|99CAC00651|05/01/2006|04/22/2006|PLAINDEALER PUBLISHING|PO BOX 239 TEKAMAH NE 68061|ADVERTISING|812.16|1|04/26/2006||4094
POORE FOR LEGISLATURE|05CAC00737|05/01/2006|04/21/2006|GOLDENROD PRINTING||LARGE SIGNS, POSTCARD MAILING AND POSTAGE|3049.19|0|||3799
NEBRASKANS FOR NABITY|99CAC00651|05/01/2006|04/21/2006|SALEM COMMUNICATIONS|831 PINE STREET OMAHA 68108|ADVERTISING|3556.05|1|04/26/2006||4094
NEBRASKANS FOR NABITY|99CAC00651|05/01/2006|04/20/2006|OH-K FAST PRINT|2923 SOUTH 120TH ST OMAHA 68144|PRINTING|469.26|1|04/26/2006||4094
BROWN FOR LEGISLATURE|06CAC00765|05/02/2006|04/06/2006|ALL IN ONE PROMOTIONS||PRINTING, TSHIRTS, VINYL LETTERING|632.64|1|||3804
COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF|05CAC00730|05/02/2006|04/21/2006|POSTMASTER||POSTAGE|4659.82|1|04/25/2006||3806
FRAZIER FOR LEGISLATURE COMMITTEE (DISSOLVED 2008)|06CAC00806|05/02/2006|04/13/2006|LIGHT, INC.|OMAHA, NE|SIGNS|86.2|0|||3810
FRAZIER FOR LEGISLATURE COMMITTEE (DISSOLVED 2008)|06CAC00806|05/02/2006|04/19/2006|POSTMASTER, LET US MAIL IT|OMAHA ,NE|POSTAGE|2893.47|1|04/28/2006||3810
FRAZIER FOR LEGISLATURE COMMITTEE (DISSOLVED 2008)|06CAC00806|05/02/2006|04/08/2006|PROTEXTER CONSULTING|OMAHA, NE|CONSULTING|1100|0|||3810
